PDB	ChainID	Name	Title	Type	Function	label_asym_id	Residue_seq_id
4BEY	A	ACT	Acetate ion	Other	Cofactor	E	A:1328
4BEY	A	PLM	Palmitic acid	Lipid	Cofactor	F	A:1329
4BEY	A	BOG	Octyl glucoside	Detergent		G	A:1334
4BUO	A, B	GLY	Glycine	Other	Cofactor	E, F, G, H, I, J, K, L, M, N, O	A:1385, A:1386, A:1387, A:1388, A:1389, A:1390, A:1391, A:1392, B:1387, B:1388, B:1389
4BVN	A	NA	Sodium ion	Ion	Cofactor	B, C	A:1359, A:1360
4BVN	A	MHA	N-(2-acetamido)iminodiacetic acid	Other	Cofactor	E	A:1362
4BVN	A	OLC	1-oleoyl-r-glycerol	Lipid		F, G, H, I, J, K, L	A:2001, A:2002, A:2003, A:2004, A:2005, A:2006, A:2007
4DKL	A	CLR	Cholesterol	Lipid	Cofactor	O	A:614
4DKL	A	MPG	[(z)-octadec-9-enyl] (2r)-2,3-bis(oxidanyl)propanoate	Other	Cofactor	P, Q	A:615, A:616
4DKL	A	CL	Chloride ion	Ion		S	A:618
4EA3	A	OLA	Oleic acid	Lipid	Cofactor	E	A:1503
4EA3	B	OLC	1-oleoyl-r-glycerol	Lipid		G	B:1502
4EA3	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		D	A:1502
4EIY	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:2403, A:2404, A:2405
4EIY	A	OLA	Oleic acid	Lipid		G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V	A:2406, A:2407, A:2408, A:2409, A:2410, A:2411, A:2412, A:2413, A:2414, A:2415, A:2416, A:2417, A:2418, A:2419, A:2420, A:2421
4EIY	A	OLC	1-oleoyl-r-glycerol	Lipid		BA, CA, W, X, Y, Z	A:2427, A:2428, A:2422, A:2423, A:2424, A:2425
4EIY	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		AA	A:2426
4J4Q	A	PLM	Palmitic acid	Lipid	Cofactor	I	A:409
4J4Q	A	ACT	Acetate ion	Other	Cofactor	K	A:411
4J4Q	A	BOG	Octyl glucoside	Detergent		E, F, G, H	A:405, A:406, A:407, A:408
4K5Y	A, C	OLA	Oleic acid	Lipid	Cofactor	E, S	A:501, C:501
4K5Y	B	PGW	Phosphatidylglycerol	Other	Cofactor	K, L, M	B:502, B:503, B:504
4K5Y	A, B	OLC	1-oleoyl-r-glycerol	Lipid		F, G, J	A:502, A:503, B:501
4MBS	A, B	ZN	Zinc ion	Ion	Cofactor	D, L	A:1102, B:1102
4MBS	A, B	OLC	1-oleoyl-r-glycerol	Lipid		E, F, G, H, I, J, M, N, O, P	A:1103, A:1104, A:1105, A:1106, A:1107, A:1108, B:1103, B:1104, B:1105, B:1106
4QKX	A	NA	Sodium ion	Ion	Cofactor	C, D	A:1401, A:1402
4U15	B	OLC	1-oleoyl-r-glycerol	Lipid		J, K	B:1202, B:1203
4WW3	B	PC1	3-sn-phosphatidylcholine	Other	Cofactor	M	B:406
4WW3	A, B	TWT	Docosane	Other	Cofactor	F, L	A:404, B:405
4WW3	A, B	PLM	Palmitic acid	Lipid	Cofactor	D, E, J, K	A:402, A:403, B:403, B:404
4WW3	A, B	BOG	Octyl glucoside	Detergent		G, N	A:405, B:407
4X1H	A	PLM	Palmitic acid	Lipid	Cofactor	G, H	A:1322, A:1323
4X1H	A	BNG	Nonyl glucoside	Detergent		E, F	A:407, A:410
4XNW	A, C	ZN	Zinc ion	Ion	Cofactor	D, F	A:1102, C:1102
4ZJC	A	OLA	Oleic acid	Lipid	Cofactor	C, D	A:2002, A:2003
5A8E	A	NA	Sodium ion	Ion	Cofactor	B, C	A:401, A:402
5A8E	A	MHA	N-(2-acetamido)iminodiacetic acid	Other	Cofactor	E	A:801
5A8E	A	OLC	1-oleoyl-r-glycerol	Lipid		F, G, H, I, J	A:2001, A:2002, A:2003, A:2004, A:2005
5CXV	A	Y01	Cholesterol hemisuccinate	Lipid		D	A:502
5D5A	A	CLR	Cholesterol	Lipid	Cofactor	G, H, I	A:1206, A:1207, A:1208
5D5A	A	PLM	Palmitic acid	Lipid	Cofactor	J	A:1209
5D5A	A	ACM	Acetamide	Other	Cofactor	F	A:1205
5D5A	A	BU1	1,4-butanediol	Other	Cofactor	D, E	A:1203, A:1204
5DHG	A, B	OLA	Oleic acid	Lipid	Cofactor	D, E, F, I, J	A:1202, A:1203, A:1204, B:1503, B:1504
5DHG	B	OLC	1-oleoyl-r-glycerol	Lipid		H	B:1502
5DHH	A, B	OLA	Oleic acid	Lipid	Cofactor	C, D, E, F, G, I, J	A:1201, A:1202, A:1203, A:1204, A:1205, B:1501, B:1502
5DHH	B	OLC	1-oleoyl-r-glycerol	Lipid		L	B:1504
5DSG	A, B	OLA	Oleic acid	Lipid	Cofactor	D, E, K, N, O	A:1202, A:1203, A:1209, B:1203, B:1204
5DSG	A	EDT	Edetic acid	Other	Cofactor	F	A:1204
5DSG	A, B	OLC	1-oleoyl-r-glycerol	Lipid		H, I, J, M, Q	A:1206, A:1207, A:1208, B:1202, B:1206
5EE7	A	OLA	Oleic acid	Lipid	Cofactor	C, D, E, F, G, H, I, J, K, L, M, N, O, P	A:1202, A:1203, A:1204, A:1205, A:1206, A:1207, A:1208, A:1209, A:1210, A:1211, A:1212, A:1213, A:1214, A:1215
5EE7	A	PE5	Polyethylene glycol peg400	Other	Cofactor	Q	A:1216
5EN0	A	ACT	Acetate ion	Other	Cofactor	E, F	A:402, A:403
5EN0	A	PLM	Palmitic acid	Lipid	Cofactor	H, I	A:405, A:406
5EN0	A	BOG	Octyl glucoside	Detergent		G, J	A:404, A:411
5K2C	A	NA	Sodium ion	Ion	Cofactor	C	A:1202
5K2C	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:1203, A:1204, A:1205
5K2C	A	OLA	Oleic acid	Lipid	Cofactor	P, Q, R, S, T, U, V, W, X, Y, Z	A:1215, A:1216, A:1217, A:1218, A:1219, A:1220, A:1221, A:1222, A:1223, A:1224, A:1225
5K2C	A	OLC	1-oleoyl-r-glycerol	Lipid		BA, G, H, I, J, K, L, M, N, O	A:1227, A:1206, A:1207, A:1208, A:1209, A:1210, A:1211, A:1212, A:1213, A:1214
5L7D	A	NA	Sodium ion	Ion	Cofactor	F, G	A:1204, A:1205
5L7D	A	NAG	D-glcnac	Other		C, D	A:1201, A:1202
5L7I	B	NA	Sodium ion	Ion	Cofactor	E	B:1201
5L7I	B	MPG	[(z)-octadec-9-enyl] (2r)-2,3-bis(oxidanyl)propanoate	Other	Cofactor	G, H	B:1203, B:1204
5L7I	A	NAG	D-glcnac	Other		C	A:1201
5NDZ	A	NA	Sodium ion	Ion	Cofactor	C	A:2202
5O9H	A, B	OLA	Oleic acid	Lipid	Cofactor	AA, BA, CA, DA, EA, F, FA, G, GA, H, HA, I, IA, J, JA, K, KA, L, LA, M, MA, N, O, P, Q, R, S, T, W, X, Y, Z	B:407, B:408, B:409, B:410, B:411, A:404, B:412, A:405, B:413, A:406, B:414, A:407, B:415, A:408, B:416, A:409, B:417, A:410, B:418, A:411, B:419, A:412, A:413, A:414, A:415, A:416, A:417, A:418, B:403, B:404, B:405, B:406
5T04	A	TCE	3,3',3''-phosphanetriyltripropanoic acid	Other	Cofactor	C	A:1201
5UEN	A, B	OLA	Oleic acid	Lipid	Cofactor	D, E, F, G, I, J, K	A:1202, A:1203, A:1204, A:1205, B:1202, B:1203, B:1204
5V56	A, B	FMN	Flavin mononucleotide	Other		D, G	A:1202, B:1202
5V56	A	NAG	D-glcnac	Other		E	A:1203
5V57	B	OLC	1-oleoyl-r-glycerol	Lipid		G	B:1203
5V57	A, B	FMN	Flavin mononucleotide	Other		D, F	A:1202, B:1202
5VEW	A	OLA	Oleic acid	Lipid	Cofactor	F	A:1204
5VEW	A, B	OLC	1-oleoyl-r-glycerol	Lipid		D, E, G, I, J, K	A:1202, A:1203, B:1201, B:1203, B:1204, B:1205
5WIU	A	OLA	Oleic acid	Lipid		F, G, H, I, J, K, L, M, N	A:1205, A:1206, A:1207, A:1208, A:1209, A:1210, A:1211, A:1212, A:1213
5WKT	A	BOG	Octyl glucoside	Detergent		E, F, G	A:405, A:406, A:407
5X7D	A	CLR	Cholesterol	Lipid	Cofactor	D, E	A:1203, A:1204
5X7D	A	BU1	1,4-butanediol	Other	Cofactor	H	A:1207
5X7D	A	ACM	Acetamide	Other	Cofactor	I	A:1208
5XF1	B	NAG	D-glcnac	Other		N	B:1206
5XRA	A	CLR	Cholesterol	Lipid	Cofactor	I	A:608
5XRA	A	OLA	Oleic acid	Lipid	Cofactor	D, E	A:603, A:604
5XRA	A	FMN	Flavin mononucleotide	Other		B	A:601
5XRA	A	OLC	1-oleoyl-r-glycerol	Lipid		F, G	A:605, A:606
5ZKQ	A, B	ZN	Zinc ion	Ion	Cofactor	H, M	A:506, B:1205
5ZKQ	A, B	OLC	1-oleoyl-r-glycerol	Lipid		D, E, F, G, J, K, L	A:502, A:503, A:504, A:505, B:1202, B:1203, B:1204
6AKX	A, B	NO3	Nitrate ion	Other	Cofactor	D, G	A:2002, B:2002
6AKX	A, B	ZN	Zinc ion	Ion	Cofactor	C, F	A:2001, B:2001
6AKY	A	ZN	Zinc ion	Ion	Cofactor	B	A:2001
6AKY	A	OLC	1-oleoyl-r-glycerol	Lipid		C	A:2002
6C1R	B	MLI	Malonate ion	Other	Cofactor	D, E	B:502, B:503
6C1R	B	NA	Sodium ion	Ion	Cofactor	F	B:504
6C1R	B	OLA	Oleic acid	Lipid	Cofactor	J, K, L, M	B:508, B:509, B:510, B:511
6C1R	B	OLC	1-oleoyl-r-glycerol	Lipid		H, I	B:506, B:507
6D26	A	SIN	Succinic acid	Other	Cofactor	L, M, N, O, P	A:2411, A:2412, A:2413, A:2414, A:2415
6D26	A	OLA	Oleic acid	Lipid	Cofactor	R	A:2417
6D26	A	PGO	S-1,2-propanediol	Other	Cofactor	S	A:2418
6D27	A	OLA	Oleic acid	Lipid	Cofactor	K, L	A:2410, A:2411
6D27	A	PGO	S-1,2-propanediol	Other	Cofactor	O, P, Q, R	A:2414, A:2415, A:2416, A:2417
6FJ3	A	OLA	Oleic acid	Lipid	Cofactor	I, J, K, L, M, N, O, P, Q	A:1518, A:1519, A:1520, A:1521, A:1522, A:1523, A:1524, A:1525, A:1526
6FJ3	A	ACY	Acetic acid	Other	Cofactor	R	A:1527
6FJ3	A	CL	Chloride ion	Ion		T	A:1529
6FJ3	A	MAN	Mannose	Other		F, G, H	A:1511, A:1516, A:1517
6H7J	A, B	NA	Sodium ion	Ion	Cofactor	H, N	A:402, B:403
6H7J	A, B	2CV	Hega-10	Detergent		I, J, K, L, O	A:403, A:404, A:405, B:401, B:404
6H7O	A, B	NA	Sodium ion	Ion	Cofactor	H, O	A:402, B:402
6H7O	A, B	2CV	Hega-10	Detergent		I, J, K, L, M, P, Q	A:403, A:404, A:405, A:406, A:407, B:403, B:404
6KUW	A, B	CLR	Cholesterol	Lipid	Cofactor	D, M	A:1202, B:1202
6KUW	A	OLA	Oleic acid	Lipid	Cofactor	J, K	A:1208, A:1209
6KUW	A, B	OLC	1-oleoyl-r-glycerol	Lipid		E, F, G, H, I, N, O	A:1203, A:1204, A:1205, A:1206, A:1207, B:1203, B:1204
6LN2	A	ZN	Zinc ion	Ion	Cofactor	E	A:502
6LN2	A	NAG	D-glcnac	Other		D	A:501
6LPL	A	NA	Sodium ion	Ion	Cofactor	C	A:2402
6LPL	A	CLR	Cholesterol	Lipid	Cofactor	D, E, F	A:2403, A:2404, A:2405
6LPL	A	ER0	[(2~{r},3~{s})-2,3,4-tris(oxidanyl)butyl] (5~{r},9~{r},13~{r})-5,9,13,17-tetramethyloctadecanoate	Other	Cofactor	Q, X	A:2416, A:2423
6LPL	A	8K6	Octadecane	Other	Cofactor	K, S, T	A:2410, A:2418, A:2419
6LPL	A	D12	Dodecane	Other	Cofactor	G	A:2406
6LPL	A	HEX	Hexane	Other	Cofactor	I	A:2408
6LPL	A	MYS	Pentadecane	Other	Cofactor	AA, H, J, O, R, Y	A:2426, A:2407, A:2409, A:2414, A:2417, A:2424
6LPL	A	OCT	N-octane	Other	Cofactor	M, N, V	A:2412, A:2413, A:2421
6LPL	A	TRD	Tridecane	Other	Cofactor	BA, U, W, Z	A:2427, A:2420, A:2422, A:2425
6LPL	A	UND	Undecane	Other	Cofactor	P	A:2415
6ME6	A	ZN	Zinc ion	Ion	Cofactor	D	A:2202
6ME6	B	OLC	1-oleoyl-r-glycerol	Lipid		F	B:2202
6ME7	A	ZN	Zinc ion	Ion	Cofactor	D	A:2202
6ME7	B	OLC	1-oleoyl-r-glycerol	Lipid		F	B:2202
6MEO	B	A2G	Tn saccharide	Other	Cofactor	U	B:401
6MEO	G	BMA	Mannose	Other	Cofactor	N	G:612
6MEO	G	NAG	D-glcnac	Other		M, O, P, Q, R, S, T	G:601, G:619, G:620, G:626, G:627, G:628, G:631
6MET	B	A2G	Tn saccharide	Other	Cofactor	T	B:401
6MET	G	NAG	D-glcnac	Other		M, N, O, P, Q, R, S	G:601, G:619, G:620, G:626, G:627, G:628, G:631
6NBF	R	CLR	Cholesterol	Lipid	Cofactor	G, H, I, J, K, L	R:601, R:602, R:603, R:604, R:605, R:606
6NBF	R	PLM	Palmitic acid	Lipid	Cofactor	M, N, O, P	R:607, R:608, R:609, R:610
6NBH	R	CLR	Cholesterol	Lipid	Cofactor	G, H, I, J, K, L, M	R:601, R:602, R:603, R:604, R:605, R:606, R:607
6NBH	R	PLM	Palmitic acid	Lipid	Cofactor	N, O, P	R:608, R:609, R:610
6NBI	R	CLR	Cholesterol	Lipid	Cofactor	G, H, I	R:601, R:602, R:603
6NWE	A	PLM	Palmitic acid	Lipid	Cofactor	H	A:409
6NWE	A	BOG	Octyl glucoside	Detergent		D, E, F, G, K	A:405, A:406, A:407, A:408, A:412
6O3C	A	NA	Sodium ion	Ion	Cofactor	D	A:602
6O3C	A	NAG	D-glcnac	Other		K, L	A:609, A:610
6O3C	A	OLB	(2s)-2,3-dihydroxypropyl (9z)-octadec-9-enoate	Lipid		E, F, G, H, I, J	A:603, A:604, A:605, A:606, A:607, A:608
6OIJ	R	Y01	Cholesterol hemisuccinate	Lipid		G, H	R:502, R:503
6PB0	R	PLM	Palmitic acid	Lipid	Cofactor	K, M, N, O, P, Q, R	R:405, R:407, R:408, R:409, R:410, R:411, R:412
6PEL	A	PLM	Palmitic acid	Lipid	Cofactor	F	A:407
6PEL	A	BOG	Octyl glucoside	Detergent		E	A:406
6PGS	A	PLM	Palmitic acid	Lipid	Cofactor	E	A:402
6PGS	A	BOG	Octyl glucoside	Detergent		D	A:401
6PH7	A	PLM	Palmitic acid	Lipid	Cofactor	E	A:406
6PH7	A	BOG	Octyl glucoside	Detergent		D	A:401
6PT2	A, B	OLA	Oleic acid	Lipid	Cofactor	F, G, H, I, J, K, L	A:1202, A:1203, B:1201, B:1202, B:1203, B:1204, B:1205
6PT2	A	CLR	Cholesterol	Lipid	Cofactor	E	A:1201
6PT2	B	OLC	1-oleoyl-r-glycerol	Lipid		M	B:1206
6RZ5	A, B	OLA	Oleic acid	Lipid	Cofactor	IA, JA, KA, L, LA, M, MA, N, NA, O, OA, P, PA, Q, R, S, T, U, V	B:2011, B:2012, B:2013, A:2010, B:2014, A:2011, B:2015, A:2012, B:2016, A:2013, B:2017, A:2014, B:2018, A:2015, A:2016, A:2017, A:2018, A:2019, A:2020
6RZ5	A, B	OLC	1-oleoyl-r-glycerol	Lipid		AA, BA, CA, D, DA, E, EA, F, FA, G, GA, H, HA, I, J, K, Z	B:2003, B:2004, B:2005, A:2002, B:2006, A:2003, B:2007, A:2004, B:2008, A:2005, B:2009, A:2006, B:2010, A:2007, A:2008, A:2009, B:2002
6TOD	A, B	NA	Sodium ion	Ion	Cofactor	FA, LB	A:430, B:432
6TOD	A, B	PGW	Phosphatidylglycerol	Other	Cofactor	EA, KB	A:429, B:431
