,TargetId,Accession,Protein-Name,Entry-Name,FamilyId,Family-Name,Ligand-type,Primary-transducer,Secondary-transducer,Primary-effectors,Secondary-effectors
20,24,P25100,alpha1D-adrenoceptor,ada1d_human,4,Adrenoceptors,Aminergic,Gq/G11 family,,"Phospholipase C stimulation, Calcium channel, Other - See Comments","Phospholipase D stimulation, Other - See Comments"
21,25,P08913,alpha2A-adrenoceptor,ada2a_human,4,Adrenoceptors,Aminergic,Gi/Go family,Gs family,"Adenylate cyclase inhibition, Potassium channel, Calcium channel, Phospholipase A2 stimulation",Adenylate cyclase stimulation
22,26,P18089,alpha2B-adrenoceptor,ada2b_human,4,Adrenoceptors,Aminergic,Gi/Go family,Gs family,"Adenylate cyclase inhibition, Potassium channel, Calcium channel",Adenylate cyclase stimulation
23,27,P18825,alpha2C-adrenoceptor,ada2c_human,4,Adrenoceptors,Aminergic,Gi/Go family,Gs family,"Adenylate cyclase inhibition, Potassium channel, Calcium channel",Adenylate cyclase stimulation
24,28,P08588,beta1-adrenoceptor,adrb1_human,4,Adrenoceptors,Aminergic,Gs family,Gi/Go family,Adenylate cyclase stimulation,Guanylate cyclase stimulation
25,29,P07550,beta2-adrenoceptor,adrb2_human,4,Adrenoceptors,Aminergic,Gs family,Gi/Go family,Adenylate cyclase stimulation,Guanylate cyclase stimulation
26,30,P13945,beta3-adrenoceptor,adrb3_human,4,Adrenoceptors,Aminergic,Gs family,Gi/Go family,Adenylate cyclase stimulation,"Adenylate cyclase inhibition, Guanylate cyclase stimulation"
46,31,Q16581,C3a receptor,c3ar_human,5,Complement peptide receptors,Peptide,G protein (identity unknown),,Other - See Comments,
47,32,P21730,C5a1 receptor,c5ar1_human,5,Complement peptide receptors,Peptide,"Gi/Go family, G protein (identity unknown)",Gq/G11 family,"Phospholipase C stimulation, Other - See Comments",Phospholipase C stimulation
48,33,Q9P296,C5a2 receptor,c5ar2_human,5,Complement peptide receptors,Peptide,_-arrestin,None,Other - See Comments,None
36,34,P30556,AT1 receptor,agtr1_human,6,Angiotensin receptors,Peptide,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation, Calcium channel, Phospholipase A2 stimulation, Phospholipase D stimulation, Other - See Comments",None
37,35,P50052,AT2 receptor,agtr2_human,6,Angiotensin receptors,Peptide,Gi/Go family,Gi/Go family,"Phospholipase A2 stimulation, Other - See Comments",Other - See Comments
38,36,P35414,apelin receptor,apj_human,7,Apelin receptor,Peptide,Gi/Go family,None,Adenylate cyclase inhibition,None
192,37,Q8TDU6,GPBA receptor,gpbar_human,8,Bile acid receptor,Steroid,Gs family,None,Adenylate cyclase stimulation,None
39,38,P28336,BB1 receptor,nmbr_human,9,Bombesin receptors,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
40,39,P30550,BB2 receptor,grpr_human,9,Bombesin receptors,Peptide,Gq/G11 family,G protein (identity unknown),"Phospholipase C stimulation, Phospholipase A2 stimulation, Phospholipase D stimulation","Adenylate cyclase stimulation, Phospholipase A2 stimulation, Phospholipase D stimulation"
41,40,P32247,BB3 receptor,brs3_human,9,Bombesin receptors,Peptide,Gq/G11 family,G protein (identity unknown),"Phospholipase C stimulation, Phospholipase D stimulation, Other - See Comments",Other - See Comments
42,41,P46663,B1 receptor,bkrb1_human,10,Bradykinin receptors,Peptide,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
43,42,P30411,B2 receptor,bkrb2_human,10,Bradykinin receptors,Peptide,"Gs family, Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation, Phospholipase A2 stimulation",None
163,56,P21554,CB1 receptor,cnr1_human,13,Cannabinoid receptors,Lipid,Gi/Go family,Gs family,"Adenylate cyclase inhibition, Potassium channel, Calcium channel, Other - See Comments",Adenylate cyclase stimulation
164,57,P34972,CB2 receptor,cnr2_human,13,Cannabinoid receptors,Lipid,Gi/Go family,Gs family,"Adenylate cyclase inhibition, Other - See Comments",Adenylate cyclase stimulation
114,58,P32246,CCR1,ccr1_human,14,Chemokine receptors,Protein,Gi/Go family,Gi/Go family,Calcium channel,Phospholipase C stimulation
115,59,P41597,CCR2,ccr2_human,14,Chemokine receptors,Protein,Gi/Go family,None,,None
116,60,P51677,CCR3,ccr3_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
117,61,P51679,CCR4,ccr4_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
118,62,P51681,CCR5,ccr5_human,14,Chemokine receptors,Protein,Gi/Go family,Gi/Go family,Calcium channel,Adenylate cyclase inhibition
119,63,P51684,CCR6,ccr6_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
120,64,P32248,CCR7,ccr7_human,14,Chemokine receptors,Protein,Gi/Go family,Gi/Go family,Calcium channel,Other - See Comments
121,65,P51685,CCR8,ccr8_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
122,66,P51686,CCR9,ccr9_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
123,67,P46092,CCR10,ccr10_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
124,68,P25024,CXCR1,cxcr1_human,14,Chemokine receptors,Protein,Gi/Go family,Gq/G11 family,"Adenylate cyclase inhibition, Calcium channel","Calcium channel, Phospholipase D stimulation, Other - See Comments"
125,69,P25025,CXCR2,cxcr2_human,14,Chemokine receptors,Protein,Gi/Go family,,"Adenylate cyclase inhibition, Calcium channel","Calcium channel, Other - See Comments"
126,70,P49682,CXCR3,cxcr3_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
127,71,P61073,CXCR4,cxcr4_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
128,72,P32302,CXCR5,cxcr5_human,14,Chemokine receptors,Protein,Gi/Go family,Gi/Go family,Calcium channel,Other - See Comments
129,73,O00574,CXCR6,cxcr6_human,14,Chemokine receptors,Protein,Gi/Go family,None,,None
130,74,P49238,CX3CR1,cx3c1_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
131,75,P46094,XCR1,xcr1_human,14,Chemokine receptors,Protein,Gi/Go family,None,Calcium channel,None
44,76,P32238,CCK1 receptor,cckar_human,15,Cholecystokinin receptors,Peptide,Gq/G11 family,Gs family,Phospholipase C stimulation,Adenylate cyclase stimulation
45,77,P32239,CCK2 receptor,gasr_human,15,Cholecystokinin receptors,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
136,78,O00421,CCRL2,ccrl2_human,14,Chemokine receptors,Protein,None,None,None,None
113,79,Q99788,chemerin receptor,cml1_human,338,Chemerin receptor,Protein,Gi/Go family,None,Adenylate cyclase inhibition,None
134,80,P25106,ACKR3,ackr3_human,14,Chemokine receptors,Protein,None,None,None,None
286,81,P32249,GPR183,gp183_human,16,Class A Orphans,Orphan,Gi/Go family,None,Adenylate cyclase inhibition,None
227,82,P46091,GPR1,gpr1_human,16,Class A Orphans,Orphan,None,None,None,None
228,83,P46089,GPR3,gpr3_human,16,Class A Orphans,Orphan,Gs family,None,Adenylate cyclase stimulation,None
229,84,P46093,GPR4,gpr4_human,16,Class A Orphans,Orphan,"Gs family, Gi/Go family, Gq/G11 family, G12/G13 family",None,"Adenylate cyclase stimulation, Phospholipase C stimulation",None
230,85,P46095,GPR6,gpr6_human,16,Class A Orphans,Orphan,"Gs family, Gi/Go family",None,"Adenylate cyclase stimulation, Adenylate cyclase inhibition",None
231,86,P47775,GPR12,gpr12_human,16,Class A Orphans,Orphan,"Gs family, Gi/Go family",None,"Adenylate cyclase stimulation, Adenylate cyclase inhibition",None
232,87,P49685,GPR15,gpr15_human,16,Class A Orphans,Orphan,None,None,None,None
233,88,Q13304,GPR17,gpr17_human,16,Class A Orphans,Orphan,Gi/Go family,Gq/G11 family,Adenylate cyclase inhibition,Phospholipase C stimulation
165,89,Q14330,GPR18,gpr18_human,114,"GPR18, GPR55 and GPR119",Lipid,"Gi/Go family, Gq/G11 family",None,,None
234,90,Q15760,GPR19,gpr19_human,16,Class A Orphans,Orphan,None,None,None,None
235,91,Q99678,GPR20,gpr20_human,16,Class A Orphans,Orphan,Gi/Go family,None,Adenylate cyclase inhibition,None
236,92,Q99679,GPR21,gpr21_human,16,Class A Orphans,Orphan,Gq/G11 family,None,,None
237,93,Q99680,GPR22,gpr22_human,16,Class A Orphans,Orphan,Gi/Go family,None,Adenylate cyclase inhibition,None
155,94,Q99677,LPA4 receptor,lpar4_human,36,Lysophospholipid (LPA) receptors,Lipid,"Gs family, Gi/Go family, Gq/G11 family, G12/G13 family",None,Adenylate cyclase stimulation,None
238,95,O00155,GPR25,gpr25_human,16,Class A Orphans,Orphan,None,None,None,None
239,96,Q8NDV2,GPR26,gpr26_human,16,Class A Orphans,Orphan,Gs family,None,Adenylate cyclase stimulation,None
240,97,Q9NS67,GPR27,gpr27_human,16,Class A Orphans,Orphan,Gq/G11 family,None,Phospholipase C stimulation,None
241,98,O00270,GPR31,gpr31_human,16,Class A Orphans,Orphan,Gi/Go family,None,,None
242,99,O75388,GPR32,gpr32_human,16,Class A Orphans,Orphan,None,None,None,None
243,100,Q49SQ1,GPR33,gpr33_human,16,Class A Orphans,Orphan,Gi/Go family,None,Adenylate cyclase inhibition,None
244,101,Q9UPC5,GPR34,gpr34_human,16,Class A Orphans,Orphan,Gi/Go family,None,Phospholipase A2 stimulation,None
245,102,Q9HC97,GPR35,gpr35_human,16,Class A Orphans,Orphan,None,None,None,None
246,103,O15354,GPR37,gpr37_human,16,Class A Orphans,Orphan,Gi/Go family,None,Adenylate cyclase inhibition,None
247,104,O60883,GPR37L1,etbr2_human,16,Class A Orphans,Orphan,Gi/Go family,None,Adenylate cyclase inhibition,None
248,105,O43194,GPR39,gpr39_human,16,Class A Orphans,Orphan,Gq/G11 family,"Gs family, G12/G13 family",Phospholipase C stimulation,Adenylate cyclase stimulation
249,106,Q9Y5Y3,GPR45,gpr45_human,16,Class A Orphans,Orphan,None,None,None,None
250,107,Q13585,GPR50,mtr1l_human,16,Class A Orphans,Orphan,None,None,None,None
251,108,Q9Y2T5,GPR52,gpr52_human,16,Class A Orphans,Orphan,None,None,None,None
166,109,Q9Y2T6,GPR55,gpr55_human,114,"GPR18, GPR55 and GPR119",Lipid,"Gq/G11 family, G12/G13 family",,"Phospholipase C stimulation, Other - See Comments",Phospholipase C stimulation
252,110,Q9BZJ8,GPR61,gpr61_human,16,Class A Orphans,Orphan,Gs family,None,,None
253,111,Q9BZJ7,GPR62,gpr62_human,16,Class A Orphans,Orphan,None,None,None,None
254,112,Q9BZJ6,GPR63,gpr63_human,16,Class A Orphans,Orphan,None,None,None,None
255,113,Q8IYL9,GPR65,psyr_human,16,Class A Orphans,Orphan,Gs family,None,Adenylate cyclase stimulation,None
256,114,Q15743,GPR68,ogr1_human,16,Class A Orphans,Orphan,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
257,115,O95800,GPR75,gpr75_human,16,Class A Orphans,Orphan,Gq/G11 family,None,Phospholipase C stimulation,None
258,116,Q96P69,GPR78,gpr78_human,16,Class A Orphans,Orphan,Gs family,None,Adenylate cyclase stimulation,None
259,118,Q96P67,GPR82,gpr82_human,16,Class A Orphans,Orphan,None,None,None,None
260,119,Q9NYM4,GPR83,gpr83_human,16,Class A Orphans,Orphan,None,None,None,None
261,120,Q9NQS5,GPR84,gpr84_human,16,Class A Orphans,Orphan,Gi/Go family,None,,None
262,121,P60893,GPR85,gpr85_human,16,Class A Orphans,Orphan,None,None,None,None
263,122,Q9BY21,GPR87,gpr87_human,16,Class A Orphans,Orphan,None,None,None,None
264,123,Q9GZN0,GPR88,gpr88_human,16,Class A Orphans,Orphan,None,None,None,None
156,124,Q9H1C0,LPA5 receptor,lpar5_human,36,Lysophospholipid (LPA) receptors,Lipid,"Gq/G11 family, G12/G13 family",None,Other - See Comments,None
265,125,Q96P66,GPR101,gp101_human,16,Class A Orphans,Orphan,Gs family,None,Adenylate cyclase stimulation,None
167,126,Q8TDV5,GPR119,gp119_human,114,"GPR18, GPR55 and GPR119",Lipid,Gs family,None,Adenylate cyclase stimulation,None
146,127,Q5NUL3,FFA4 receptor,ffar4_human,24,Free fatty acid receptors,Lipid,Gq/G11 family,None,,None
266,128,Q9UNW8,GPR132,gp132_human,16,Class A Orphans,Orphan,Gs family,None,Other - See Comments,None
267,129,Q8IZ08,GPR135,gp135_human,16,Class A Orphans,Orphan,None,None,None,None
268,130,Q6DWJ6,GPR139,gp139_human,16,Class A Orphans,Orphan,Gq/G11 family,None,Other - See Comments,None
269,131,Q7Z602,GPR141,gp141_human,16,Class A Orphans,Orphan,None,None,None,None
270,132,Q7Z601,GPR142,gp142_human,16,Class A Orphans,Orphan,None,None,None,None
271,133,Q96CH1,GPR146,gp146_human,16,Class A Orphans,Orphan,None,None,None,None
272,134,Q8TDV2,GPR148,gp148_human,16,Class A Orphans,Orphan,None,None,None,None
273,135,Q86SP6,GPR149,gp149_human,16,Class A Orphans,Orphan,None,None,None,None
274,136,Q8NGU9,GPR150,gp150_human,16,Class A Orphans,Orphan,None,None,None,None
275,137,Q8TDV0,GPR151,gp151_human,16,Class A Orphans,Orphan,None,None,None,None
276,138,Q8TDT2,GPR152,gp152_human,16,Class A Orphans,Orphan,None,None,None,None
277,139,Q6NV75,GPR153,gp153_human,16,Class A Orphans,Orphan,None,None,None,None
278,140,Q9UJ42,GPR160,gp160_human,16,Class A Orphans,Orphan,None,None,None,None
279,141,Q8N6U8,GPR161,gp161_human,16,Class A Orphans,Orphan,None,None,None,None
280,142,Q16538,GPR162,gp162_human,16,Class A Orphans,Orphan,None,None,None,None
281,143,O14626,GPR171,gp171_human,16,Class A Orphans,Orphan,None,None,None,None
282,144,Q9NS66,GPR173,gp173_human,16,Class A Orphans,Orphan,None,None,None,None
283,145,Q9BXC1,GPR174,gp174_human,16,Class A Orphans,Orphan,None,None,None,None
285,146,O15218,GPR182,gp182_human,16,Class A Orphans,Orphan,None,None,None,None
287,147,Q9BXB1,LGR4,lgr4_human,16,Class A Orphans,Orphan,None,None,Adenylate cyclase inhibition,None
288,148,O75473,LGR5,lgr5_human,16,Class A Orphans,Orphan,None,None,None,None
289,149,Q9HBX8,LGR6,lgr6_human,16,Class A Orphans,Orphan,None,None,None,None
290,150,P04201,MAS1,mas_human,16,Class A Orphans,Orphan,"Gi/Go family, Gq/G11 family",None,"Phospholipase C stimulation, Other - See Comments",None
291,151,P35410,MAS1L,mas1l_human,16,Class A Orphans,Orphan,None,None,None,None
292,152,Q8TDS7,MRGPRD,mrgrd_human,16,Class A Orphans,Orphan,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
293,153,Q86SM8,MRGPRE,mrgre_human,16,Class A Orphans,Orphan,None,None,None,None
294,154,Q96AM1,MRGPRF,mrgrf_human,16,Class A Orphans,Orphan,None,None,None,None
295,155,Q86SM5,MRGPRG,mrgrg_human,16,Class A Orphans,Orphan,None,None,None,None
296,156,Q96LB2,MRGPRX1,mrgx1_human,16,Class A Orphans,Orphan,Gq/G11 family,None,Phospholipase C stimulation,None
297,157,Q96LB1,MRGPRX2,mrgx2_human,16,Class A Orphans,Orphan,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
298,158,Q96LB0,MRGPRX3,mrgx3_human,16,Class A Orphans,Orphan,Gq/G11 family,None,Phospholipase C stimulation,None
299,159,Q96LA9,MRGPRX4,mrgx4_human,16,Class A Orphans,Orphan,Gq/G11 family,None,Phospholipase C stimulation,None
204,160,Q9H1Y3,Opsin-3,opn3_human,16,Class A Orphans,Sensory,None,None,None,None
205,161,Q6U736,Opsin-5,opn5_human,16,Class A Orphans,Sensory,Gi/Go family,None,,None
197,162,Q96P68,oxoglutarate receptor,oxgr1_human,447,Oxoglutarate receptor,Alicarboxylic-acid,Gq/G11 family,None,Phospholipase C stimulation,None
157,163,P43657,LPA6 receptor,lpar6_human,36,Lysophospholipid (LPA) receptors,Lipid,"Gs family, Gi/Go family, G12/G13 family",None,"Adenylate cyclase stimulation, Phospholipase C stimulation, Other - See Comments",None
300,164,Q86VZ1,P2RY8,p2ry8_human,16,Class A Orphans,Orphan,None,None,None,None
301,165,O00398,P2RY10,p2y10_human,16,Class A Orphans,Orphan,None,None,None,None
198,166,Q9BXA5,succinate receptor,sucr1_human,446,Succinate receptor,Alicarboxylic-acid,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
27,214,P21728,D1 receptor,drd1_human,20,Dopamine receptors,Aminergic,Gs family,Gs family,Adenylate cyclase stimulation,"Calcium channel, Other - See Comments"
14,215,P14416,D2 receptor,drd2_human,20,Dopamine receptors,Aminergic,"Gi/Go family, G protein independent mechanism",,"Adenylate cyclase inhibition, Other - See Comments","Potassium channel, Other - See Comments"
28,216,P35462,D3 receptor,drd3_human,20,Dopamine receptors,Aminergic,Gi/Go family,None,"Adenylate cyclase inhibition, Potassium channel",None
29,217,P21917,D4 receptor,drd4_human,20,Dopamine receptors,Aminergic,Gi/Go family,None,Adenylate cyclase inhibition,None
30,218,P21918,D5 receptor,drd5_human,20,Dopamine receptors,Aminergic,Gs family,None,Adenylate cyclase stimulation,None
49,219,P25101,ETA receptor,ednra_human,21,Endothelin receptors,Peptide,Gq/G11 family,None,"Phospholipase C stimulation, Phospholipase A2 stimulation, Phospholipase D stimulation",None
50,220,P24530,ETB receptor,ednrb_human,21,Endothelin receptors,Peptide,"Gs family, Gi/Go family, Gq/G11 family",None,"Phospholipase C stimulation, Phospholipase A2 stimulation, Phospholipase D stimulation",None
193,221,Q99527,GPER,gper1_human,22,G protein-coupled estrogen receptor,Steroid,Gi/Go family,Gs family,Phospholipase C stimulation,Adenylate cyclase stimulation
51,222,P21462,FPR1,fpr1_human,23,Formylpeptide receptors,Peptide,Gi/Go family,,"Adenylate cyclase inhibition, Phospholipase C stimulation, Phospholipase A2 stimulation, Phospholipase D stimulation",Calcium channel
52,223,P25090,FPR2/ALX,fpr2_human,23,Formylpeptide receptors,Peptide,Gi/Go family,Gq/G11 family,"Phospholipase C stimulation, Phospholipase A2 stimulation, Phospholipase D stimulation","Phospholipase C stimulation, Phospholipase A2 stimulation, Phospholipase D stimulation, Other - See Comments"
53,224,P25089,FPR3,fpr3_human,23,Formylpeptide receptors,Peptide,Gi/Go family,,Phospholipase A2 stimulation,
143,225,O14842,FFA1 receptor,ffar1_human,24,Free fatty acid receptors,Lipid,Gq/G11 family,"Gs family, Gi/Go family","Adenylate cyclase inhibition, Phospholipase C stimulation","Adenylate cyclase stimulation, Phospholipase C stimulation, Phospholipase A2 stimulation"
144,226,O15552,FFA2 receptor,ffar2_human,24,Free fatty acid receptors,Lipid,Gq/G11 family,Gi/Go family,Phospholipase C stimulation,Adenylate cyclase inhibition
145,227,O14843,FFA3 receptor,ffar3_human,24,Free fatty acid receptors,Lipid,Gi/Go family,None,Adenylate cyclase inhibition,None
147,228,O15529,GPR42,gpr42_human,16,Class A Orphans,Lipid,None,None,,None
54,243,P47211,GAL1 receptor,galr1_human,27,Galanin receptors,Peptide,Gi/Go family,None,"Adenylate cyclase inhibition, Potassium channel",None
55,244,O43603,GAL2 receptor,galr2_human,27,Galanin receptors,Peptide,Gq/G11 family,"Gi/Go family, G12/G13 family",Phospholipase C stimulation,"Adenylate cyclase inhibition, Other - See Comments"
56,245,O60755,GAL3 receptor,galr3_human,27,Galanin receptors,Peptide,Gi/Go family,None,"Adenylate cyclase inhibition, Potassium channel",None
57,246,Q92847,ghrelin receptor,ghsr_human,28,Ghrelin receptor,Peptide,Gq/G11 family,"Gi/Go family, G12/G13 family, G protein independent mechanism",Phospholipase C stimulation,Other - See Comments
137,253,P23945,FSH receptor,fshr_human,30,Glycoprotein hormone receptors,Protein,Gs family,None,Adenylate cyclase stimulation,None
138,254,P22888,LH receptor,lshr_human,30,Glycoprotein hormone receptors,Protein,Gs family,Gq/G11 family,Adenylate cyclase stimulation,Phospholipase C stimulation
139,255,P16473,TSH receptor,tshr_human,30,Glycoprotein hormone receptors,Protein,Gs family,Gq/G11 family,Adenylate cyclase stimulation,Phospholipase C stimulation
58,256,P30968,GnRH1 receptor,gnrhr_human,31,Gonadotrophin-releasing hormone receptors,Peptide,Gq/G11 family,Gi/Go family,Phospholipase C stimulation,Other - See Comments
59,257,Q96P88,GnRH2 receptor,gnrr2_human,31,Gonadotrophin-releasing hormone receptors,Peptide,None,None,None,None
31,262,P35367,H1 receptor,hrh1_human,33,Histamine receptors,Aminergic,Gq/G11 family,Gq/G11 family,Adenylate cyclase stimulation,Phospholipase C stimulation
32,263,P25021,H2 receptor,hrh2_human,33,Histamine receptors,Aminergic,Gq/G11 family,Gs family,Phospholipase C stimulation,Adenylate cyclase stimulation
33,264,Q9Y5N1,H3 receptor,hrh3_human,33,Histamine receptors,Aminergic,Gi/Go family,None,Adenylate cyclase inhibition,None
34,265,Q9H3N8,H4 receptor,hrh4_human,33,Histamine receptors,Aminergic,Gi/Go family,None,Phospholipase C stimulation,None
60,266,Q969F8,kisspeptin receptor,kissr_human,34,Kisspeptin receptor,Peptide,Gq/G11 family,None,Phospholipase C stimulation,None
148,267,Q15722,BLT1 receptor,lt4r1_human,35,Leukotriene receptors,Lipid,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation, Other - See Comments",None
149,268,Q9NPC1,BLT2 receptor,lt4r2_human,35,Leukotriene receptors,Lipid,Gi/Go family,Gq/G11 family,Adenylate cyclase inhibition,Phospholipase C stimulation
150,269,Q9Y271,CysLT1 receptor,cltr1_human,35,Leukotriene receptors,Lipid,Gq/G11 family,Gi/Go family,Phospholipase C stimulation,Phospholipase C stimulation
151,270,Q9NS75,CysLT2 receptor,cltr2_human,35,Leukotriene receptors,Lipid,Gq/G11 family,Gi/Go family,Phospholipase C stimulation,Other - See Comments
152,271,Q8TDS5,OXE receptor,oxer1_human,35,Leukotriene receptors,Lipid,Gi/Go family,Gi/Go family,Phospholipase C stimulation,"Adenylate cyclase inhibition, Phospholipase A2 stimulation, Other - See Comments"
153,272,Q92633,LPA1 receptor,lpar1_human,36,Lysophospholipid (LPA) receptors,Lipid,"Gi/Go family, Gq/G11 family, G12/G13 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation, Phospholipase A2 stimulation, Other - See Comments",None
142,273,Q9HBW0,LPA2 receptor,lpar2_human,36,Lysophospholipid (LPA) receptors,Lipid,"Gi/Go family, Gq/G11 family, G12/G13 family","Gi/Go family, Gq/G11 family, G12/G13 family","Adenylate cyclase inhibition, Phospholipase A2 stimulation",
154,274,Q9UBY5,LPA3 receptor,lpar3_human,36,Lysophospholipid (LPA) receptors,Lipid,"Gi/Go family, Gq/G11 family",None,"Adenylate cyclase inhibition, Phospholipase A2 stimulation",None
158,275,P21453,S1P1 receptor,s1pr1_human,135,Lysophospholipid (S1P) receptors,Lipid,Gi/Go family,None,"Adenylate cyclase inhibition, Phospholipase C stimulation, Calcium channel, Phospholipase D stimulation, Other - See Comments",None
159,276,O95136,S1P2 receptor,s1pr2_human,135,Lysophospholipid (S1P) receptors,Lipid,"Gs family, Gq/G11 family, G12/G13 family",None,"Adenylate cyclase stimulation, Phospholipase C stimulation, Calcium channel",None
160,277,Q99500,S1P3 receptor,s1pr3_human,135,Lysophospholipid (S1P) receptors,Lipid,"Gi/Go family, Gq/G11 family, G12/G13 family",None,"Adenylate cyclase inhibition, Phospholipase C stimulation",None
