,Approval,Class,Drug Class,Drug Name,EntryName,Gene,INDEX,Indication(s),LigandType,Phase,PhaseDate,ClinicalStatus,Status,Subfamily,Target class,Target_novelty,Trial name,Uniprot,ModeOfAction,Note
32,0,Class A (Rhodopsin),small molecule,ser100,oprx_human,OPRL1,MMAmay2016_0735,Antihypertensive,Peptide ,2,2013.0,Completed,in trial,Opioid receptors,GPCR;Rhodopsin,not established,ser100,P41146,agonist,
33,0,Class A (Rhodopsin),small molecule,obinepitide,npy2r_human,NPY2R,2027,Anti-obesity,Peptide ,2,2010.0,Completed,in trial,Neuropeptide Y receptors,GPCR;Rhodopsin,not established,"tm30338,obinepitide",P49146,agonist,Sweden
34,0,Class A (Rhodopsin),small molecule,obinepitide,npy4r_human,PPYR1,2027,Anti-obesity,Peptide ,2,2010.0,Completed,in trial,Neuropeptide Y receptors,GPCR;Rhodopsin,not established,"tm30338,obinepitide",P50391,agonist,Sweden
35,0,Class B1 (Secretin),peptide,tt-401,glr_human,GCGR,MMAmay2016_0612,Antidiabetic,Peptide ,2,2014.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,"tt-401, Pegapamodutide, LY2944876",P47871,agonist,
36,0,Class B1 (Secretin),peptide,tt-401,glp1r_human,GLP1R,MMAmay2016_0613,Antidiabetic,Peptide ,2,2014.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,"tt-401, Pegapamodutide, LY2944876",P43220,agonist,
37,0,Class B1 (Secretin),small molecule,ttp273,glp1r_human,GLP1R,MMAmar2016_0255,Antidiabetic,Peptide ,2,2016.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,ttp273,P43220,agonist,
38,0,Class A (Rhodopsin),small molecule,tzp-101,ghsr_human,GHSR,2095,gastroparesis,Peptide ,2,2016.0,Completed,in trial,Ghrelin receptors,GPCR;Rhodopsin,not established,"tzp-101, Ulimorelin",Q92847,agonist,
39,0,Class A (Rhodopsin),small molecule,xp21279,drd1_human,DRD1,2223,Antiparkinson,Aminergic ,2,2010.0,Completed,in trial,Dopamine receptors,GPCR;Rhodopsin,established,xp21279,P21728,agonist,
40,0,Class A (Rhodopsin),small molecule,xp21279,drd2_human,DRD2,2223,Antiparkinson,Aminergic ,2,2010.0,Completed,in trial,Dopamine receptors,GPCR;Rhodopsin,established,xp21279,P14416,agonist,
41,0,Class A (Rhodopsin),small molecule,xp21279,drd3_human,DRD3,2223,Antiparkinson,Aminergic ,2,2010.0,Completed,in trial,Dopamine receptors,GPCR;Rhodopsin,established,xp21279,P35462,agonist,
42,0,Class A (Rhodopsin),small molecule,xp21279,drd4_human,DRD4,2223,Antiparkinson,Aminergic ,2,2010.0,Completed,in trial,Dopamine receptors,GPCR;Rhodopsin,established,xp21279,P21917,agonist,
43,0,Class A (Rhodopsin),small molecule,xp21279,drd5_human,DRD5,2223,Antiparkinson,Aminergic ,2,2010.0,Completed,in trial,Dopamine receptors,GPCR;Rhodopsin,established,xp21279,P21918,agonist,
44,0,Class A (Rhodopsin),small molecule,ykp10811,5ht4r_human,HTR4,MMAmay2016_0641,for chronic or functional constipation,Aminergic ,2,2014.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,ykp10811,Q13639,agonist,
45,0,Class B1 (Secretin),peptide,elsiglutide,glp2r_human,GLP2R,2464,Antidiuretic,Peptide ,2,2012.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,zp1846,O95838,agonist,
46,0,Class A (Rhodopsin),small molecule,carbetocin,oxyr_human,OXTR,NRDD078,Labor Inducing,Peptide ,3,2016.0,Completed,in trial,Vasopressin and oxytocin receptors,GPCR;Rhodopsin,established,-,P30559,agonist,Approved in Europe but not FDA
47,0,Class A (Rhodopsin),small molecule,anamorelin,ghsr_human,GHSR,175,Appetite stimulant,Peptide ,3,2011.0,Completed,in trial,Ghrelin receptors,GPCR;Rhodopsin,not established,"anamorelin, rc-1291",Q92847,agonist,
48,0,Class C (Glutamate) ,small molecule,arbaclofen,gabr1_human,GABBR1,216,Fragile X syndrome,Amino acid ,3,2011.0,Completed,in trial,GABAB receptors,GPCR;Glutamate,established,arbaclofen,Q9UBS5,agonist,
49,0,Class C (Glutamate) ,small molecule,arbaclofen,gabr2_human,GABBR2,216,Fragile X syndrome,Amino acid ,3,2011.0,Completed,in trial,GABAB receptors,GPCR;Glutamate,established,arbaclofen,O75899,agonist,
50,0,Class A (Rhodopsin),peptide,ljpc-501,agtr1_human,AGTR1,MMA2015_0090,Hepatorenal syndrome-catecholamine-resistant hypotension (CRH),Peptide ,3,2015.0,Completed,in trial,Angiotensin receptors,GPCR;Rhodopsin,established,athos-3,P30556,agonist,
51,0,Class A (Rhodopsin),peptide,ljpc-501,agtr2_human,AGTR2,MMA2015_0091,Hepatorenal syndrome-catecholamine-resistant hypotension (CRH),Peptide ,3,2015.0,Completed,in trial,Angiotensin receptors,GPCR;Rhodopsin,not established,athos-3,P50052,agonist,
52,0,Class A (Rhodopsin),small molecule,binodenoson,aa2ar_human,ADORA2A,363,Diagnostic,Nucleotide ,3,2009.0,Completed,in trial,Adenosine receptors,GPCR;Rhodopsin,established,"binodenoson, mre 0470,corvue",P29274,agonist,No development reported
53,0,Class A (Rhodopsin),small molecule,ino-8875,aa1r_human,ADORA1,985,Antiglaucomic,Nucleotide ,3,2015.0,Completed,in trial,Adenosine receptors,GPCR;Rhodopsin,established,ino-8875,P30542,agonist,
54,0,Class A (Rhodopsin),small molecule,kuc-7483,adrb3_human,ADRB3,1082,overactive bladder,Aminergic ,3,2009.0,Completed,in trial,Adrenoceptors,GPCR;Rhodopsin,established,"kuc-7483, Ritobegron",P13945,agonist,"Article from 2012 suggests may be worth more research, but also possibly discontinued"
55,0,Class A (Rhodopsin),peptide,"macimorelin,  aezs-130",ghsr_human,GHSR,MMAmay2016_0080,"growth hormone deficiency, cancer cachexia",Peptide ,3,2015.0,Completed,in trial,Ghrelin receptors,GPCR;Rhodopsin,not established,"macimorelin,  aezs-130",Q92847,agonist,Applied for fda approval in 2013 and rejected in 2014
56,0,Class B1 (Secretin),protein,alx1-11,pth1r_human,PTH1R,1646,Anti-osteoporotic,Peptide ,3,2005.0,Completed,in trial,Parathyroid hormone receptors,GPCR;Secretin,established,preos,Q03431,agonist,
57,0,Class B1 (Secretin),protein,alx1-11,pth2r_human,PTH2R,1646,Anti-osteoporotic,Peptide ,3,2005.0,Completed,in trial,Parathyroid hormone receptors,GPCR;Secretin,established,preos,P49190,agonist,
58,0,Class B1 (Secretin),protein,alx1-11,pth2r_human,PTH2R,1646,Anti-osteoporotic,Peptide ,3,2005.0,Completed,in trial,Parathyroid hormone receptors,GPCR;Secretin,established,preos,P49190,agonist,
59,0,Class A (Rhodopsin),small molecule,abediterol,adrb2_human,ADRB2,ASH_Sep2016_190,Anti-Asthmatic,Aminergic ,2,2016.0,Completed,in trial,Adrenoceptors,GPCR;Rhodopsin,established,abediterol,P07550,agonist,
60,0,Class A (Rhodopsin),small molecule,batefenterol,adrb2_human,ADRB2,ASH_Sep2016_188,chronic obstructive pulmonary disease (COPD),Aminergic ,2,2016.0,Completed,in trial,Adrenoceptors,GPCR;Rhodopsin,established,batefenterol,P07550,agonist,
61,0,Class A (Rhodopsin),small molecule,batefenterol,acm2_human,CHRM2,ASH_Sep2016_56,chronic obstructive pulmonary disease (COPD),Aminergic ,2,2015.0,Completed,in trial,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,batefenterol,P08172,agonist,
62,0,Class A (Rhodopsin),small molecule,batefenterol,acm3_human,CHRM3,ASH_Sep2016_82,chronic obstructive pulmonary disease (COPD),Aminergic ,2,2016.0,Completed,in trial,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,batefenterol,P20309,agonist,
63,0,Class A (Rhodopsin),small molecule,bedoradrine,adrb2_human,ADRB2,ASH_Sep2016_189,Anti-Asthmatic,Aminergic ,2,2009.0,Completed,in trial,Adrenoceptors,GPCR;Rhodopsin,established,bedoradrine,P07550,agonist,No development reported
64,0,Class A (Rhodopsin),small molecule,camicinal,mtlr_human,MLNR,ASH_Sep2016_262,gastroparesis,Peptide ,2,2014.0,Completed,in trial,Motilin receptors,GPCR;Rhodopsin,not established,camicinal,O43193,agonist,
65,0,Class A (Rhodopsin),protein,fsh-gex,fshr_human,FSHR,825,Fertility,Protein ,2,2013.0,Completed,in trial,Glycoprotein hormone receptors,GPCR;Rhodopsin,established,fsh-gex,P23945,agonist,
66,0,Class A (Rhodopsin),small molecule,naronapride,5ht4r_human,HTR4,ASH_Sep2016_41,constipation,Aminergic ,2,2009.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,naronapride,Q13639,agonist,
67,0,Class A (Rhodopsin),small molecule,ulimorelin,ghsr_human,GHSR,ASH_Sep2016_254,digestive system disease,Peptide ,3,2012.0,Completed,in trial,Ghrelin receptors,GPCR;Rhodopsin,not established,ulimorelin,Q92847,agonist,
68,0,Class A (Rhodopsin),small molecule,aiko-150,oprm_human,OPRM1,92,opioid antagonist,Peptide ,1,2009.0,Completed,in trial,Opioid receptors,GPCR;Rhodopsin,established,aiko-150,P35372,antagonist,
69,0,Class A (Rhodopsin),small molecule,avn-101,5ht6r_human,HTR6,290,Alzheimer's disease,Aminergic ,1,2009.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,avn-101,P50406,antagonist,
70,0,Class C (Glutamate) ,small molecule,bci-838,grm2_human,GRM2,MMAmay2016_0306,Anti-depressant,Amino acid ,1,2012.0,Completed,in trial,Metabotropic glutamate receptors,GPCR;Glutamate,not established,bci-838,Q14416,antagonist,No development reported
71,0,Class C (Glutamate) ,small molecule,bci-838,grm3_human,GRM3,MMAmay2016_0307,Anti-depressant,Amino acid ,1,2012.0,Completed,in trial,Metabotropic glutamate receptors,GPCR;Glutamate,not established,bci-838,Q14832,antagonist,No development reported
72,0,Class A (Rhodopsin),small molecule,ccx507,ccr9_human,CCR9,MMAmay2016_0216,ulcerative colitis; inflammatory bowel disease,Protein ,1,2014.0,Completed,in trial,Chemokine receptors,GPCR;Rhodopsin,not established,ccx507,P51686,antagonist,
73,0,Class F (Frizzled),small molecule,cur-61414,smo_human,SMO,2823,Antineoplastic,Protein ,1,2010.0,Completed,in trial,Frizzled,GPCR;Frizzled,established,cur-61414,Q99835,antagonist,
74,0,Class A (Rhodopsin),small molecule,cvt-6883,aa2br_human,ADORA2B,569,Anti-Asthmatic,Nucleotide ,1,2008.0,Completed,in trial,Adenosine receptors,GPCR;Rhodopsin,established,cvt-6883,P29275,antagonist,
75,0,Class A (Rhodopsin),peptide,pdc31,pf2r_human,PTGFR,MMAmay2016_0526,pre-term labor; dysmenorrhea,Lipid ,1,2010.0,Completed,in trial,Prostanoid receptors,GPCR;Rhodopsin,established,pdc31,P43088,antagonist,
76,0,Class A (Rhodopsin),small molecule,prx-07034,5ht6r_human,HTR6,1667,Anti-obesity ; nootropic,Aminergic ,1,2007.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,prx-07034,P50406,antagonist,Sold to undisclosed company in 2009
77,0,Class A (Rhodopsin),small molecule,q-122,cxcr4_human,CXCR4,MMAmar2016_0157,Anti-inflammatory ; hot flashes,Protein ,1,2014.0,Completed,in trial,Chemokine receptors,GPCR;Rhodopsin,established,q-122,P61073,antagonist,
78,0,Class A (Rhodopsin),small molecule,tm38837,cnr1_human,CNR1,2029,Anti-obesity,Lipid ,1,2013.0,Completed,in trial,Cannabinoid receptors,GPCR;Rhodopsin,established,tm38837,P21554,antagonist,
79,0,Class A (Rhodopsin),small molecule,alks 33,oprd_human,OPRD1,116,alcohol dependance; Anti-depressant,Peptide ,2,2009.0,Completed,in trial,Opioid receptors,GPCR;Rhodopsin,established,"alks 33, samidorphan",P41143,antagonist,
80,0,Class A (Rhodopsin),small molecule,alks 33,oprk_human,OPRK1,116,alcohol dependance; Anti-depressant,Peptide ,2,2009.0,Completed,in trial,Opioid receptors,GPCR;Rhodopsin,established,"alks 33, samidorphan",P41145,antagonist,
81,0,Class A (Rhodopsin),small molecule,alks 33,oprm_human,OPRM1,116,alcohol dependance; Anti-depressant,Peptide ,2,2009.0,Completed,in trial,Opioid receptors,GPCR;Rhodopsin,established,"alks 33, samidorphan",P35372,antagonist,
82,0,Class A (Rhodopsin),small molecule,am1030,5ht2b_human,HTR2B,MMAmar2016_0116,Anti-inflammatory ; atopic dermatitis,Aminergic ,2,2015.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,am1030,P41595,antagonist,
83,0,Class A (Rhodopsin),small molecule,am-152,lpar1_human,LPAR1,144,Anti-inflammatory ; antifibrotic,Lipid ,2,2015.0,Completed,in trial,Lysophospholipid (LPA) receptors,GPCR;Rhodopsin,not established,"am-152, BMS 986020",Q92633,antagonist,
84,0,Class A (Rhodopsin),small molecule,amap102,5ht2b_human,HTR2B,148,Anti-inflammatory ; DMARD,Aminergic ,2,2014.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,amap102,P41595,antagonist,Phase 2 in Europe
85,0,Class A (Rhodopsin),small molecule,amap102,5ht2c_human,HTR2C,148,Anti-inflammatory ; DMARD,Aminergic ,2,2014.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,amap102,P28335,antagonist,
86,0,Class A (Rhodopsin),small molecule,"api246,  srx246",v1ar_human,AVPR1A,MMAjun2016_0005,Treatment of affective and anger disorders,Peptide ,2,2016.0,Completed,in trial,Vasopressin and oxytocin receptors,GPCR;Rhodopsin,established,"api246,  srx246",P37288,antagonist,
87,0,Class A (Rhodopsin),small molecule,arry-502,pd2r2_human,GPR44,MMAapril2016_0314,Anti-Allergic,Lipid ,2,2012.0,Completed,in trial,Prostanoid receptors,GPCR;Rhodopsin,not established,arry-502,Q9Y5Y4,antagonist,
88,0,Class A (Rhodopsin),small molecule,budiodarone,adrb1_human,ADRB1,404,Anti-Arrhythmia,Aminergic ,2,2005.0,Completed,in trial,Adrenoceptors,GPCR;Rhodopsin,established,"budiodarone, ati-2042",P08588,antagonist,
89,0,Class A (Rhodopsin),small molecule,ccx140,ccr2_human,CCR2,447,Anti-inflammatory ; Antidiabetic,Protein ,2,2011.0,Completed,in trial,Chemokine receptors,GPCR;Rhodopsin,not established,ccx140,P41597,antagonist,
90,0,Class A (Rhodopsin),small molecule,ccx354,ccr1_human,CCR1,450,Anti-inflammatory ; DMARD,Protein ,2,2010.0,Completed,in trial,Chemokine receptors,GPCR;Rhodopsin,not established,ccx354,P32246,antagonist,
91,0,Class A (Rhodopsin),small molecule,cannabidiol,cnr1_human,CNR1,MMAapril2016_0328,schizophrenia,Lipid ,2,2013.0,Completed,in trial,Cannabinoid receptors,GPCR;Rhodopsin,established,"epidiolex, oral liquid cannabidiol, gwp42003",P21554,antagonist,
92,0,Class A (Rhodopsin),small molecule,cannabidiol,cnr2_human,CNR2,MMAapril2016_0328,schizophrenia,Lipid ,2,2013.0,Completed,in trial,Cannabinoid receptors,GPCR;Rhodopsin,established,"epidiolex, oral liquid cannabidiol, gwp42003",P34972,antagonist,
93,0,Class A (Rhodopsin),small molecule,glpg0974,ffar2_human,FFAR2,MMAmay2016_0156,Anti-inflammatory ; neutrophil driven inflammation; ulcerative colitis,Lipid ,2,2013.0,Completed,in trial,Free fatty acid receptors,GPCR;Rhodopsin,not established,glpg0974,O15552,antagonist,
94,0,Class A (Rhodopsin),small molecule,glpg1205,gpr84_human,GPR84,MMAapril2016_0323,for ulcerative colitis; IBS,Orphan ,2,2015.0,Completed,in trial,Class A orphans,GPCR;Rhodopsin,not established,glpg1205,Q9NQS5,antagonist,
95,0,Class A (Rhodopsin),small molecule,gsk-961081,acm3_human,CHRM3,881,Bronchodilator,Aminergic ,2,2015.0,Completed,in trial,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,gsk-961081,P20309,antagonist,
96,0,Class A (Rhodopsin),small molecule,tetrahydrocannabivarin (thcv),cnr1_human,CNR1,MMAapril2016_0329,Antidiabetic,Lipid ,2,2014.0,Completed,in trial,Cannabinoid receptors,GPCR;Rhodopsin,established,"gwp42004, Tetrahydrocannabivarin-9",P21554,antagonist,
97,0,Class A (Rhodopsin),small molecule,jnj-37822681,drd2_human,DRD2,1054,schizophrenia,Aminergic ,2,2013.0,Completed,in trial,Dopamine receptors,GPCR;Rhodopsin,established,jnj-37822681,P14416,antagonist,
98,0,Class A (Rhodopsin),small molecule,min-117,5ht1a_human,HTR1A,MMAapril2016_0204,Anti-depressant,Aminergic ,2,2016.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,min-117,P08908,antagonist,
99,0,Class A (Rhodopsin),small molecule,min-117,5ht2a_human,HTR2A,MMAapril2016_0203,Anti-depressant,Aminergic ,2,2016.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,min-117,P28223,antagonist,
100,0,Class A (Rhodopsin),small molecule,"min-202, jnj-42847922",ox2r_human,HCRTR2,MMA2016_0029,Anti-depressant and sleep disorder therapy,Peptide ,2,2015.0,Completed,in trial,Orexin receptors,GPCR;Rhodopsin,established,"min-202, jnj-42847922",O43614,antagonist,
101,0,Class A (Rhodopsin),small molecule,ncx 1510,hrh1_human,HRH1,1390,Anti-Allergic,Aminergic ,2,2009.0,Completed,in trial,Histamine receptors,GPCR;Rhodopsin,established,"ncx 1510, ox-nla",P35367,antagonist,
102,0,Class C (Glutamate) ,small molecule,npsp795,casr_human,CASR,MMAmar2016_0202,hypocalcaemia,Ion ,2,2014.0,Completed,in trial,Calcium-sensing receptors,GPCR;Glutamate,established,npsp795,P41180,antagonist,
103,0,Class A (Rhodopsin),small molecule,prx-08066,5ht2b_human,HTR2B,1668,Antihypertensive,Aminergic ,2,2008.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,prx-08066,P41595,antagonist,
104,0,Class A (Rhodopsin),small molecule,"re-021, sparsentan",agtr1_human,AGTR1,MMAapril2016_0044,kidney disease; nephropathy,Peptide ,2,2012.0,Completed,in trial,Angiotensin receptors,GPCR;Rhodopsin,established,"re-021, sparsentan",P30556,antagonist,
105,0,Class A (Rhodopsin),small molecule,"re-021, sparsentan",ednra_human,EDNRA,MMAapril2016_0045,kidney disease; nephropathy,Peptide ,2,2012.0,Completed,in trial,Endothelin receptors,GPCR;Rhodopsin,established,"re-021, sparsentan",P25101,antagonist,
106,0,Class A (Rhodopsin),small molecule,svt-40776,acm3_human,CHRM3,1921,incontinence,Aminergic ,2,2011.0,Completed,in trial,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,"svt-40776, tarafenacin",P20309,antagonist,
107,0,Class A (Rhodopsin),sirna,syl040012,adrb2_human,ADRB2,1922,Antiglaucomic,Aminergic ,2,2014.0,Completed,in trial,Adrenoceptors,GPCR;Rhodopsin,established,"syl040012, Bamosiran",P07550,antagonist,
108,0,Class A (Rhodopsin),small molecule,syn120,5ht2a_human,HTR2A,MMAapril2016_0310,cognitive disorders,Aminergic ,2,2014.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,"syn120, Landipirdine",P28223,antagonist,
