,Drug Name,Drug Class,LigandType,ModeOfAction,DrugAliases,TargetCategory,Gene,EntryName,Uniprot,Class,Target class,Subfamily,Target_novelty,INDEX,Trial name,Indication(s),Phase,PhaseDate,ClinicalStatus,Status,Approval,Note,PMID
18,acrivastine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,ASH_Sep2016_235,acrivastine,Anti-Allergic,4,,-,approved,1994,,1715267
19,adenosine,small molecule,Nucleotide ,agonist,,primary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2267,"adenogesic, adenosine (intravenous)",Analgesics,4,,-,approved,1989,endogenous ligand,11752352|20370662|20370661|17321471|16339914|20136829|17438146|17442976
20,adenosine,small molecule,Nucleotide ,agonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2267,"adenogesic, adenosine (intravenous)",Analgesics,4,,-,approved,1989,endogenous ligand,20370662|20370661|17321471|16339914|19749080|20136829|17438146|17442976
21,adenosine,small molecule,Nucleotide ,agonist,,primary,ADORA2B,aa2br_human,P29275,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2267,"adenogesic, adenosine (intravenous)",Analgesics,4,,-,approved,1989,endogenous ligand,20370662|20370661|17321471|16339914|20136829|17438146|17442976
22,adenosine,small molecule,Nucleotide ,agonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2267,"adenogesic, adenosine (intravenous)",Analgesics,4,,-,approved,1989,endogenous ligand,20370662|20370661|17321471|20136829|17438146|17442976
23,agomelatine,small molecule,Melatonin ,agonist,,primary,MTNR1B,mtr1b_human,P49286,Class A (Rhodopsin),GPCR;Rhodopsin,Melatonin,established,86,"agomelatine , ago178c, s-20098,valdoxan, thymanax",Anti-depressant,4,,-,approved,2009,,15289999
24,agomelatine,small molecule,Aminergic ,antagonist,,primary,HTR2C,5ht2c_human,P28335,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,87,"agomelatine, ago178c, s-20098,valdoxan, thymanax",Anti-depressant,4,,-,approved,2009,,15289999
25,agomelatine,small molecule,Melatonin ,agonist,,primary,MTNR1A,mtr1a_human,P48039,Class A (Rhodopsin),GPCR;Rhodopsin,Melatonin,established,87,"agomelatine, ago178c, s-20098,valdoxan, thymanax",Anti-depressant,4,,-,approved,2009,,15289999
26,albiglutide,protein,Peptide,agonist,,primary,GLP1R,glp1r_human,P43220,Class B1 (Secretin),GPCR;Secretin,Glucagon receptor family,established,101,"albiglutide, gsk716155,syncria",Antidiabetic,4,,-,approved,2014,,25136065
27,albuterol,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_173,albuterol,chronic obstructive pulmonary disease (COPD),4,,-,approved,1981,,17996583
28,alcaftadine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD011,-,Anti-Allergic,4,,-,approved,2010,,22035879
29,alfentanil,small molecule,Peptide,agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,MMAmay2016_0108,"ox51,  sublingual alfentanil",Analgesics,4,,-,approved,1986,,10955836|15694871|16906017|11240090|11752352
30,alfentanil,small molecule,Peptide,agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD015,-,Analgesics,4,,-,approved,1986,,10955836|15694871|16906017|11240090|11752352
31,alfuzosin,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,107,"alfuzosin,uroxatral",benign prostatic hyperplasia,4,,-,approved,2003,,11752352|8799556|12892027|9122046|15639685|9223558|8196478|9870119|16613526|16553574|11750253
32,alfuzosin,small molecule,Aminergic ,agonist,,primary,ADRA1D,ada1d_human,P25100,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,107,"alfuzosin,uroxatral",benign prostatic hyperplasia,4,,-,approved,2003,,11752352|8799556|9122046|15639685|8196478|16613526|16553574|11750253
33,alfuzosin,small molecule,Aminergic ,agonist,,primary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,107,"alfuzosin,uroxatral",benign prostatic hyperplasia,4,,-,approved,2003,,11752352|8799556|9122046|15639685|8196478|9870119|16613526|16553574|11750253
34,almotriptan,small molecule,Aminergic ,agonist,,primary,HTR1B,5ht1b_human,P28222,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,120,"almotriptan,axert, almogran, amignul",Anti-migraine,4,,-,approved,2001,,10193663|10824628|11050304|11069595|11134654|11752352
35,almotriptan,small molecule,Aminergic ,agonist,,primary,HTR1D,5ht1d_human,P28221,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,120,"almotriptan,axert, almogran, amignul",Anti-migraine,4,,-,approved,2001,,10193663|11134654|11642004|11752352
36,alprenolol,small molecule,Aminergic ,antagonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD019,-,Anti-Arrhythmia ; Antihypertensive,4,,-,approved,1966,"No longer marketed, but may still be available",2439825|2859531|2871880
37,alprenolol,small molecule,Aminergic ,antagonist,,primary,ADRB1,adrb1_human,P08588,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD019,-,Anti-Arrhythmia ; Antihypertensive,4,,-,approved,1966,"No longer marketed, but may still be available",7678677|7606348|10433496|12522078|2828119|11752352
38,alprostadil,small molecule,Lipid ,agonist,,primary,PTGER2,pe2r2_human,P43116,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,2039,"topical alprostadil cream,alprox-td, befar, vitaros",sexual dysfunction,4,,-,approved,1981,,10509658|15840408|11752352
39,alprostadil,small molecule,Lipid ,agonist,,primary,PTGER1,pe2r1_human,P34995,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,2039,"topical alprostadil cream,alprox-td, befar, vitaros",sexual dysfunction,4,,-,approved,1981,,15560119|14561849|10670413|16516814|11524243
40,alverine,small molecule,Aminergic ,antagonist,,primary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Oct2016_395,alverine,Antispasmodics,4,,-,approved,2014,,11697552
41,alvimopan,small molecule,Peptide,antagonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,2549,entereg,opioid-induced bowel dysfunction,4,,-,approved,2008,,17909271|19086236|16597533|11752352|15882122|11755894
42,alvimopan,small molecule,Peptide,antagonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD021,-,Opiate Antagonists,4,,-,approved,2008,,17909271|19086236|16597533|11752352|15882122|11755894
43,amantadine hcl,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,MMAmay2016_0242,"ads-5102, amantadine hcl extended release",dyskinesias,4,,-,approved,1968,,9195603|10443547
44,ambrisentan,small molecule,Peptide,antagonist,,primary,EDNRA,ednra_human,P25101,Class A (Rhodopsin),GPCR;Rhodopsin,Endothelin receptors,established,1111,letairis,Antihypertensive,4,,-,approved,2007,,20811346|19389876|19601701|19920913
45,amiodarone,small molecule,Aminergic ,antagonist,,primary,ADRB1,adrb1_human,P08588,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,160,"amiodarone hcl,amio-aqueous iv",Anti-Arrhythmia,4,,-,approved,1985,,12083991
46,amitriptyline,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1491,oms-103hp,Analgesics,4,,-,approved,1961,,7855217
47,amoxapine,small molecule,Aminergic ,antagonist,,primary,DRD1,drd1_human,P21728,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_200,amoxapine,unipolar depression,4,,-,approved,1980,,11180191
48,amoxapine,small molecule,Aminergic ,antagonist,,primary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_210,amoxapine,unipolar depression,4,,-,approved,1980,,16135699
49,amoxapine,small molecule,Aminergic ,antagonist,,primary,DRD4,drd4_human,P21917,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_221,amoxapine,unipolar depression,4,,-,approved,1980,,16135699
50,amoxapine,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_64,amoxapine,unipolar depression,4,,-,approved,1980,,1966571|11180191
51,amphetamine,small molecule,Aminergic ,agonist,,primary,TAAR1,taar1_human,Q96RJ0,Class A (Rhodopsin),GPCR;Rhodopsin,Trace amine receptors,established,1862,"sli 381, spd 465,adderall, adderall xr, adderall ir",cognitive dysfunction; ADHD,4,,-,approved,1996,,17218486|17234900|17212650|17234899|15764732
52,anileridine,small molecule,Peptide,agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,NRDD027,-,Analgesics; Narcotics,4,,-,approved,1982,,17139284|17016423|11752352
53,anisotropine methylbromide,small molecule,Aminergic ,antagonist,,primary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD029,-,Antispasmodics; Anti-ulcer,4,,-,approved,1982,,17139284|17016423|4555460
54,anisotropine methylbromide,small molecule,Aminergic ,antagonist,,primary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD029,-,Antispasmodics; Anti-ulcer,4,,-,approved,1982,,17139284|17016423|4555460
55,anisotropine methylbromide,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,NRDD029,-,Antispasmodics; Anti-ulcer,4,,-,approved,1982,,17139284|17016423|4555460|6897316|20391952
56,antazoline,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,ASH_Sep2016_232,antazoline,atrial fibrillation,4,,-,approved,1994,,16129921
57,apomorphine,small molecule,Aminergic ,agonist,,primary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,207,"apomorphine hydrochloride,apokyn, apo-go",anti-parkisonian,4,,-,approved,2004,,11752352
58,apomorphine,small molecule,Aminergic ,agonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,207,"apomorphine hydrochloride,apokyn, apo-go",anti-parkisonian,4,,-,approved,2004,,11343576|11752352|11212866|18691132|10641988|11692072|11215397|10494453
59,apomorphine,small molecule,Aminergic ,agonist,,primary,DRD4,drd4_human,P21917,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,207,"apomorphine hydrochloride,apokyn, apo-go",anti-parkisonian,4,,-,approved,2004,,15007532|11752352|18691132|9497025|17067298|9871530|17164075
60,apraclonidine,small molecule,Aminergic ,agonist,,primary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_135,apraclonidine,Antiglaucomic,4,,-,approved,1987,,1676991
61,apraclonidine,small molecule,Aminergic ,agonist,,primary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_162,apraclonidine,Antiglaucomic,4,,-,approved,1987,,1676991
62,apraclonidine,small molecule,Aminergic ,agonist,,primary,ADRA2A,ada2a_human,P08913,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD032,-,Antiglaucomic,4,,-,approved,1987,,17139284|17016423|11481271|17824139|16921219|12630335|14575724|15748550|20399934|17572343|16935593
63,aprepitant,small molecule,Peptide,antagonist,,primary,TACR1,nk1r_human,P25103,Class A (Rhodopsin),GPCR;Rhodopsin,Tachykinin receptors,established,209,"aprepitant, mk-869, fosaprepitant dimeglumine, mk-0517,emend",Antiemetics,4,,-,approved,2003,,11752352|12590540|17643344|12784346|12227806|15121485
64,arbutamine,small molecule,Aminergic ,agonist,,primary,ADRB1,adrb1_human,P08588,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD034,-,Cardiotonic,4,,-,approved,1997,,17139284|17016423|8723169
65,arformoterol,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,2276,brovana,Bronchodilator,4,,-,approved,2006,,14725487|17594727|17352511|20406080|16022567|18501650|17472819|11752352
66,arformoterol,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD036,-,Bronchodilator,4,,-,approved,2006,,14725487|17594727|17352511|20406080|16022567|18501650|17472819|11752352
67,aripiprazole,small molecule,Aminergic ,partial agonist,,primary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,22,abilify,schizophrenia,4,,-,approved,2002,,12063084|14647959|14709325|15257633|15862515
68,aripiprazole,small molecule,Aminergic ,partial agonist,,primary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,ASH_Sep2016_1,"aripiprazole lauroxil, alks 9070",psychosis,4,,-,approved,2015,,12063084|14647959|14709325|15257633|15862515
69,aripiprazole,small molecule,Aminergic ,partial agonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,22,abilify,schizophrenia,4,,-,approved,2002,,14642974|17242925|17265076
70,aripiprazole,small molecule,Aminergic ,partial agonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,ASH_Sep2016_14,"aripiprazole lauroxil, alks 9070",psychosis,4,,-,approved,2015,,14642974|17242925|17265076
71,aripiprazole,small molecule,Aminergic ,partial agonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,22,abilify,schizophrenia,4,,-,approved,2002,,16366516|9083792|16925992|16981227|17501690|11752352
72,aripiprazole,small molecule,Aminergic ,partial agonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Sep2016_58,"aripiprazole lauroxil, alks 9070",psychosis,4,,-,approved,2015,,16366516|9083792|16925992|16981227|17501690|11752352
73,asenapine,small molecule,Aminergic ,antagonist,,primary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,250,asenapine,schizophrenia,4,,-,approved,2009,,10592235|18308814
74,asenapine,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,250,asenapine,schizophrenia,4,,-,approved,2009,,10592235|21655346|18308814
75,asenapine,small molecule,Aminergic ,antagonist,,primary,HTR2C,5ht2c_human,P28335,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,250,asenapine,schizophrenia,4,,-,approved,2009,,10592235|21655346|18308814
76,asenapine,small molecule,Aminergic ,antagonist,,primary,HTR6,5ht6r_human,P50406,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,250,asenapine,schizophrenia,4,,-,approved,2009,,10592235|21655346|18308814
77,asenapine,small molecule,Aminergic ,antagonist,,primary,HTR1B,5ht1b_human,P28222,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,250,asenapine,schizophrenia,4,,-,approved,2009,,21655346|18308814
78,asenapine,small molecule,Aminergic ,antagonist,,primary,HTR5A,5ht5a_human,P47898,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,250,asenapine,schizophrenia,4,,-,approved,2009,,21655346|18308814
79,asenapine,small molecule,Aminergic ,antagonist,,primary,HTR7,5ht7r_human,P34969,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,250,asenapine,schizophrenia,4,,-,approved,2009,,21655346|18308814
80,asenapine,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,250,asenapine,schizophrenia,4,,-,approved,2009,,21655346|21658377|18308814
81,asfotase alfa,enzyme,Lipid ,agonist,,primary,S1PR1,s1pr1_human,P21453,Class A (Rhodopsin),GPCR;Rhodopsin,Lysophospholipid (S1P) receptors,established,ASH_Sep2016_303,asfotase alfa,hypophosphatasia,4,,-,approved,2015,,20446681|21345969
82,astemizole,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD037,-,Anti-Allergic,4,,-,approved,1988,,8001268|6146346|3147222|10597865|10597866|6204835|2892659|11752352
83,atenolol,small molecule,Aminergic ,antagonist,,primary,ADRB1,adrb1_human,P08588,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD038,-,Anti-Arrhythmia ; Antihypertensive,4,,-,approved,1981,,10913016|12065078|17628611|9300315|11752352
84,atosiban,small molecule,Protein,antagonist,,primary,OXTR,oxyr_human,P30559,Class A (Rhodopsin),GPCR;Rhodopsin,Chemokine receptors,established,ASH_Oct2016_425,atosiban,labor repressant,4,,-,approved,2013,,22069312
85,atropine,small molecule,Aminergic ,antagonist,,primary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,977,inhaled atropine,nerve  antidote,4,,-,approved,1973,,16248990|17087737|15333678|17588565|16188951|7855217
86,atropine,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,977,inhaled atropine,nerve  antidote,4,,-,approved,1973,,7855217|17139284|17016423
87,atropine,small molecule,Aminergic ,antagonist,,primary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,977,inhaled atropine,nerve  antidote,4,,-,approved,1973,,7855217|17139284|17016423
88,atropine,small molecule,Aminergic ,antagonist,,primary,CHRM4,acm4_human,P08173,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,977,inhaled atropine,nerve  antidote,4,,-,approved,1973,,7855217|17139284|17016423
89,atropine,small molecule,Aminergic ,antagonist,,primary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,977,inhaled atropine,nerve  antidote,4,,-,approved,1973,,7855217|17139284|17016423|11752352
90,azatadine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD041,-,Anti-Allergic,4,,-,approved,1977,,9638277|2568212|2523301|7528133|11752352
91,azelastine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,313,azelastine,Anti-Allergic,4,,-,approved,1996,,2540229|8829888|9585822|11752352|19209282|17723160|10478514
92,azelastine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,314,"azelastine hydrochloride nasal spray,astepro",Anti-Allergic,4,,-,approved,1996,,2540229|8829888|9585822|11752352|19209282|17723160|10478514
93,azelastine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,679,"dymista, azelastine hydrochloride + fluticasone propionate, mp29-02",Anti-Allergic,4,,-,approved,2012,,2540229|8829888|9585822|11752352|19209282|17723160|10478514
94,azilsartan medoxomil,small molecule,Peptide,antagonist,,primary,AGTR1,agtr1_human,P30556,Class A (Rhodopsin),GPCR;Rhodopsin,Angiotensin receptors,established,315,"azilsartan medoxomil, tak-491",Antihypertensive,4,,-,approved,2011,,11752352|23563275
95,azilsartan medoxomil,small molecule,Peptide,antagonist,,primary,AGTR1,agtr1_human,P30556,Class A (Rhodopsin),GPCR;Rhodopsin,Angiotensin receptors,established,MMAmay2016_0371,"edarbyclor, azilsartan medoxomil + chlorthalidone",Antihypertensive,4,,-,approved,2011,,11752352|23563275
96,baclofen,small molecule,Amino acid ,agonist,,primary,GABBR2,gabr2_human,O75899,Class C (Glutamate) ,GPCR;Glutamate,GABAB receptors,established,MMAmay2017_001,baclofen,anti-spastic,4,,-,approved,1977,,10658574|15235087|8388192|10751439|11008066|19303900|10328880|10545129
97,baclofen,small molecule,Amino acid ,agonist,,primary,GABBR1,gabr1_human,Q9UBS5,Class C (Glutamate) ,GPCR;Glutamate,GABAB receptors,established,MMAmay2017_001,baclofen,anti-spastic,4,,-,approved,1977,,8388192|11752352|10386831|19303900|10444662|10482760|10494996|10545129|10094428
98,benperidol,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,ASH_Oct2016_384,benperidol,Antipsychotic,4,,-,approved,2006,"not FDA approved, European approval",27241797
99,benzphetamine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD046,-,Central Nervous System Stimulants,4,,-,approved,1960,,17139284|17016423
