accession,entry_name,ENSG,ICD_Code,ICD_Title,Score,ot_genetics_portal,gene_burden,clingen,gene2phenotype,orphanet,genomics_england,uniprot_literature,uniprot_variants,sysbio,cancer_gene_census,cancer_biomarkers,intogen,eva,eva_somatic,chembl,slapenrich,crispr,crispr_screen,reactome,europepmc,expression_atlas,impc
P08908,5ht1a_human,ENSG00000178394,6A61.Z,"Bipolar type II disorder, unspecified",0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,6A70.3,"Single episode depressive disorder, severe, without psychotic symptoms",0.634160181122764,,,,,,,,,,,,,,,0.990248212580979,,,,,0.5845277303710803,,0.79815252994093
P08908,5ht1a_human,ENSG00000178394,6A7Y,Other specified depressive disorders,0.3728785088793688,,,,,,,,,,,,,,,0.607930797611621,,,,,0.10852071346365445,,
P08908,5ht1a_human,ENSG00000178394,6A7Z,"Depressive disorders, unspecified",0.5964783380484702,,,,,,,,,,,,,,,0.9750172770032699,,,,,0.24577186544497487,,
P08908,5ht1a_human,ENSG00000178394,6A8Z,"Mood disorders, unspecified",0.024009407702467518,,,,,,,,,,,,,,,,,,,,0.19746826280880428,,
P08908,5ht1a_human,ENSG00000178394,6B00,Generalised anxiety disorder,0.5431178888985946,,,,,,,,,,,,,,,0.8884849664425098,,,,,0.09805440339508324,,
P08908,5ht1a_human,ENSG00000178394,6B01,Panic disorder,0.3794872659884449,,,,,,,,,,,,,,,0.607930797611621,,,,,0.3259387858837357,,
P08908,5ht1a_human,ENSG00000178394,6B04,Social anxiety disorder,0.3733246907120189,,,,,,,,,,,,,,,0.607930797611621,,,,,0.12319941815843141,,
P08908,5ht1a_human,ENSG00000178394,6B0Y,Other specified anxiety or fear-related disorders,0.6101754519206539,,,,,,,,,,,,,,,0.9945044806469483,,,,,0.183756104956934,,
P08908,5ht1a_human,ENSG00000178394,6B20.Z,"Obsessive-compulsive disorder, unspecified",0.11170321993305937,,,,,,,,,,,,,,,0.13678442946261474,,,,,0.16163544309111252,,0.7297765435845254
P08908,5ht1a_human,ENSG00000178394,6B25.0,Trichotillomania,0.07391597093694036,,,,,,,,,,,,,,,0.12158615952232422,,,,,,,
P08908,5ht1a_human,ENSG00000178394,6B40,Post traumatic stress disorder,0.5539124069593006,,,,,,,,,,,,,,,0.8993916843834829,,,,,0.23504329554808143,,
P08908,5ht1a_human,ENSG00000178394,6B6Z,"Dissociative disorders, unspecified",0.02606318199664815,,,,,,,,,,,,,,,,,,,,0.2143597766311776,,
P08908,5ht1a_human,ENSG00000178394,6B80.Z,"Anorexia Nervosa, unspecified",0.2658639414370387,,,,,,,,,,,,,,,0.43315069329828,,,,,0.08350604983859627,,
P08908,5ht1a_human,ENSG00000178394,6B81,Bulimia Nervosa,0.015063048266240987,,,,,,,,,,,,,,,,,,,,0.12388785306994819,,
P08908,5ht1a_human,ENSG00000178394,6B8Z,"Feeding or eating disorders, unspecified",0.38947832146978834,,,,,,,,,,,,,,,0.6383273374922022,,,,,0.04669854057166134,,
P08908,5ht1a_human,ENSG00000178394,6C40.1Z,"Harmful pattern of use of alcohol, unspecified",0.011572571860885469,,,,,,,,,,,,,,,,,,,,0.09518000984939942,,
P08908,5ht1a_human,ENSG00000178394,6C40.2Z,"Alcohol dependence, unspecified",0.45581636300603534,,,,,,,,,,,,,,,0.7436682351450158,,,,,0.12230140899274891,,
P08908,5ht1a_human,ENSG00000178394,6C41.2Z,"Cannabis dependence, unspecified",0.4019488902908369,,,,,,,,,,,,,,,0.6594360457426056,,,,,0.034787151196664985,,
P08908,5ht1a_human,ENSG00000178394,6C43.2Z,"Opioid dependence, unspecified",0.3695798546847018,,,,,,,,,,,,,,,0.607930797611621,,,,,,,
P08908,5ht1a_human,ENSG00000178394,6C45.2Z,"Cocaine dependence, unspecified",0.10735268167883129,,,,,,,,,,,,,,,0.17552313084375526,,,,,0.021277577916406734,,
P08908,5ht1a_human,ENSG00000178394,6C46.2Z,"Stimulant dependence including amphetamines, methamphetamine or methcathinone, unspecified",0.43861942476121907,,,,,,,,,,,,,,,0.7214956479987921,,,,,,,
P08908,5ht1a_human,ENSG00000178394,6C4E.2Z,"Other specified psychoactive substance dependence, unspecified",0.0044349582562164215,,,,,,,,,,,,,,,,,,,,0.03647584785669726,,
P08908,5ht1a_human,ENSG00000178394,6C4G.2Z,"Unknown or unspecified psychoactive substance dependence, substance and state of remission unspecified",0.0031697632203457927,,,,,,,,,,,,,,,,,,,,0.026070099037578353,,
P08908,5ht1a_human,ENSG00000178394,6C4Z,"Disorders due to substance use, unspecified",0.3707039934093677,,,,,,,,,,,,,,,0.607930797611621,,,,,0.03698245685470695,,
P08908,5ht1a_human,ENSG00000178394,6C91.Z,"Conduct-dissocial disorder, unspecified",0.3695798546847018,,,,,,,,,,,,,,,0.607930797611621,,,,,,,
P08908,5ht1a_human,ENSG00000178394,6D10.Z,"Personality disorder, severity unspecified",0.11308116942644415,,,,,,,,,,,,,,,0.1654922726831635,,,,,0.41035328838784424,,
P08908,5ht1a_human,ENSG00000178394,6D81,Dementia due to cerebrovascular disease,0.0929493334532025,,,,,,,,,,,,,,,0.15198269940290526,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,6D82,Dementia due to Lewy body disease,0.00794596687572109,,,,,,,,,,,,,,,,,,,,0.06535256074324927,,
P08908,5ht1a_human,ENSG00000178394,6D8Z,"Dementia, unknown or unspecified cause",0.3682965913003799,,,,,,,,,,,,,,,0.6058199267865807,,,,,,,
P08908,5ht1a_human,ENSG00000178394,6E0Y,Other specified neurocognitive disorders,0.0029439088647051415,,,,,,,,,,,,,,,,,,,,0.02421253271154284,,
P08908,5ht1a_human,ENSG00000178394,6E20,"Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, without psychotic symptoms",0.261200562298413,,,,,,,,,,,,,,,0.42555155832813474,,,,,0.08207065767756885,,
P08908,5ht1a_human,ENSG00000178394,6E8Y,"Other specified mental, behavioural or neurodevelopmental disorders",0.549506580447154,,,,,,,,,,,,,,,0.9029847029000613,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,6E8Z,"Mental, behavioural or neurodevelopmental disorders, unspecified",0.013177867828987659,,,,,,,,,,,,,,,,,,,,0.10838295971152945,,
P08908,5ht1a_human,ENSG00000178394,7A0Z,"Insomnia disorders, unspecified",0.01599670988342588,,,,,,,,,,,,,,,,,,,,0.13156686539218101,,
P08908,5ht1a_human,ENSG00000178394,7A41,Obstructive sleep apnoea,0.002494664019121737,,,,,,,,,,,,,,,,,,,,0.02051766441939221,,
P08908,5ht1a_human,ENSG00000178394,7A80,Restless legs syndrome,0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,7B2Z,"Sleep-wake disorders, unspecified",0.26089514561294436,,,,,,,,,,,,,,,0.42555155832813474,,,,,0.07202291255037678,,
P08908,5ht1a_human,ENSG00000178394,8A00.0Z,"Parkinson disease, unspecified",0.39995775580319204,,,,,,,,,,,,,,,0.648969144749237,,,,,0.17861987028087653,,
P08908,5ht1a_human,ENSG00000178394,8A00.Z,"Parkinsonism, unspecified",0.010738570967350978,,,,,,,,,,,,,,,,,,,,0.08832066914145181,,
P08908,5ht1a_human,ENSG00000178394,8A01.10,Huntington disease,0.015499749605078375,,,,,,,,,,,,,,,,,,,,0.1274795557814497,,
P08908,5ht1a_human,ENSG00000178394,8A02.10,Drug-induced dystonia,0.3695798546847018,,,,,,,,,,,,,,,0.607930797611621,,,,,,,
P08908,5ht1a_human,ENSG00000178394,8A04.Y,Other specified disorders associated with tremor,0.005305113491857403,,,,,,,,,,,,,,,,,,,,0.04363254430191407,,
P08908,5ht1a_human,ENSG00000178394,8A05.00,Tourette syndrome,0.5538323187308826,,,,,,,,,,,,,,,0.9077444820693243,,,,,0.06535256074324927,,
P08908,5ht1a_human,ENSG00000178394,8A0Z,"Movement disorders, unspecified",0.4740734255432639,,,,,,,,,,,,,,,0.7774421683456614,,,,,0.04745237614690708,,
P08908,5ht1a_human,ENSG00000178394,8A20,Alzheimer disease,0.4018488184696437,,,,,,,,,,,,,,,0.6602508792583253,,,,,0.015198269940290528,,
P08908,5ht1a_human,ENSG00000178394,8A40.Z,"Multiple sclerosis, unspecified",0.0022174791281082107,,,,,,,,,,,,,,,,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,8A62.1,Lennox-Gastaut syndrome,0.03775627795458914,,,,,,,,,,,,,,,,,,,,,,0.3105310514200161
P08908,5ht1a_human,ENSG00000178394,8A66.Z,"Status epilepticus, unspecified",0.015448027281537553,,,,,,,,,,,,,,,,,,,,0.12705415930750874,,
P08908,5ht1a_human,ENSG00000178394,8A68.Z,"Type of seizure, unspecified",0.0073915970936940375,,,,,,,,,,,,,,,,,,,,0.06079307976116211,,
P08908,5ht1a_human,ENSG00000178394,8A6Z,"Epilepsy or seizures, unspecified",0.0022174791281082107,,,,,,,,,,,,,,,,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,8A80.Z,"Migraine, unspecified",0.37400066390411507,,,,,,,,,,,,,,,0.607930797611621,,,,,0.14543790960357167,,
P08908,5ht1a_human,ENSG00000178394,8B00.Z,"Intracerebral haemorrhage, site unspecified",0.0073915970936940375,,,,,,,,,,,,,,,,,,,,0.06079307976116211,,
P08908,5ht1a_human,ENSG00000178394,8B11.5Z,"Cerebral ischaemic stroke, unspecified",0.26055379755271474,,,,,,,,,,,,,,,0.42555155832813474,,,,,0.06079307976116211,,
P08908,5ht1a_human,ENSG00000178394,8B20,Stroke not known if ischaemic or haemorrhagic,0.07437794575529624,,,,,,,,,,,,,,,0.12158615952232422,,,,,0.015198269940290528,,
P08908,5ht1a_human,ENSG00000178394,8B82.0,Trigeminal neuralgia,0.0022174791281082107,,,,,,,,,,,,,,,,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,8C03.0,Diabetic polyneuropathy,0.00406537840153172,,,,,,,,,,,,,,,,,,,,0.03343619386863916,,
P08908,5ht1a_human,ENSG00000178394,8C0Z,"Polyneuropathy, unspecified",0.002751316695986113,,,,,,,,,,,,,,,,,,,,0.02262853524443256,,
P08908,5ht1a_human,ENSG00000178394,8D87.0Z,"Multiple system atrophy, unspecified",0.0073915970936940375,,,,,,,,,,,,,,,,,,,,0.06079307976116211,,
P08908,5ht1a_human,ENSG00000178394,8E43.0Z,"Neuropathic pain, unspecified",0.007886410883945197,,,,,,,,,,,,,,,,,,,,0.06486273532224847,,
P08908,5ht1a_human,ENSG00000178394,9B70,Inherited retinal dystrophies,0.0018478992734235094,,,,,,,,,,,,,,,,,,,,0.015198269940290528,,
P08908,5ht1a_human,ENSG00000178394,9B71.0Z,"Diabetic retinopathy, unspecified",0.0018478992734235094,,,,,,,,,,,,,,,,,,,,0.015198269940290528,,
P08908,5ht1a_human,ENSG00000178394,9B75.0Z,"Age-related macular degeneration, unspecified",0.002751316695986113,,,,,,,,,,,,,,,,,,,,0.02262853524443256,,
P08908,5ht1a_human,ENSG00000178394,9C61.01,Ocular hypertension,0.0052357146080332755,,,,,,,,,,,,,,,,,,,,0.043061764830823156,,
P08908,5ht1a_human,ENSG00000178394,9C61.Z,"Glaucoma, unspecified",0.0261299116926329,,,,,,,,,,,,,,,,,,,,0.2149086030456882,,
P08908,5ht1a_human,ENSG00000178394,BA21,Orthostatic hypotension,0.0022174791281082107,,,,,,,,,,,,,,,,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,BA41.Z,"Acute myocardial infarction, unspecified",0.005358907892928176,,,,,,,,,,,,,,,,,,,,0.044074982826842524,,
P08908,5ht1a_human,ENSG00000178394,BA52.Z,"Coronary atherosclerosis, unspecified site",0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,BA6Z,"Ischaemic heart diseases, unspecified",0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,BA8Z,"Diseases of coronary artery, unspecified",0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,BB01.0,Pulmonary arterial hypertension,0.0051741179655858255,,,,,,,,,,,,,,,,,,,,0.04255515583281348,,
P08908,5ht1a_human,ENSG00000178394,BC81.3Z,"Atrial fibrillation, unspecified",0.0052357146080332755,,,,,,,,,,,,,,,,,,,,0.043061764830823156,,
P08908,5ht1a_human,ENSG00000178394,BE2Z,"Diseases of the circulatory system, unspecified",0.5261379875719714,,,,,,,,,,,,,,,0.865457038266544,,,,,,,
P08908,5ht1a_human,ENSG00000178394,CA22.Z,"Chronic obstructive pulmonary disease, unspecified",0.00406537840153172,,,,,,,,,,,,,,,,,,,,0.03343619386863916,,
P08908,5ht1a_human,ENSG00000178394,CA23.31,Unspecified asthma with status asthmaticus,0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,DA41.00,Gastroparesis,0.07391597093694036,,,,,,,,,,,,,,,0.12158615952232422,,,,,,,
P08908,5ht1a_human,ENSG00000178394,DB96.0,Autoimmune hepatitis,0.0022174791281082107,,,,,,,,,,,,,,,,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,DD7Z,"Inflammatory bowel diseases, unspecified",0.007001485024860183,,,,,,,,,,,,,,,,,,,,0.057584556107100775,,
P08908,5ht1a_human,ENSG00000178394,DD91.0Z,"Irritable bowel syndrome, type unspecified",0.5083920975439316,,,,,,,,,,,,,,,0.8274613634158176,,,,,0.1761006651014863,,
P08908,5ht1a_human,ENSG00000178394,DE2Z,"Diseases of the digestive system, unspecified",0.09239496367117545,,,,,,,,,,,,,,,0.15198269940290526,,,,,,,
P08908,5ht1a_human,ENSG00000178394,EA90.Z,Psoriasis of unspecified type,0.0031106304435962405,,,,,,,,,,,,,,,,,,,,0.025583754399489053,,
P08908,5ht1a_human,ENSG00000178394,EC90.Z,"Pruritus, unspecified",0.0025870589827929123,,,,,,,,,,,,,,,,,,,,0.021277577916406734,,
P08908,5ht1a_human,ENSG00000178394,GA30.2,Postmenopausal atrophic vaginitis,0.0036957985468470188,,,,,,,,,,,,,,,,,,,,0.030396539880581056,,
P08908,5ht1a_human,ENSG00000178394,GA90,Hyperplasia of prostate,0.0029361066233284643,,,,,,,,,,,,,,,,,,,,0.024148362238461615,,
P08908,5ht1a_human,ENSG00000178394,GA91.Z,"Inflammatory and other diseases of prostate, unspecified",0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,GB61.Z,"Chronic kidney disease, stage unspecified",0.03695798546847018,,,,,,,,,,,,,,,0.06079307976116211,,,,,,,
P08908,5ht1a_human,ENSG00000178394,GC50.0,Overactive bladder,0.011703362065015557,,,,,,,,,,,,,,,,,,,,0.09625570962184002,,
P08908,5ht1a_human,ENSG00000178394,HA01.1Z,"Male erectile dysfunction, unspecified",0.0022174791281082107,,,,,,,,,,,,,,,,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,HA03.0Z,"Male early ejaculation, unspecified",0.01019937737859031,,,,,,,,,,,,,,,,,,,,0.08388600658710353,,
P08908,5ht1a_human,ENSG00000178394,HA0Z,"Sexual dysfunctions, unspecified",0.4040106887684158,,,,,,,,,,,,,,,0.6594360457426056,,,,,0.10261718993393786,,
P08908,5ht1a_human,ENSG00000178394,LA11.62,Anomalies of pupillary function,0.0042501683288740716,,,,,,,,,,,,,,,,,,,,0.03495602086266821,,
P08908,5ht1a_human,ENSG00000178394,LD28.1,Ehlers-Danlos syndrome,0.0042501683288740716,,,,,,,,,,,,,,,,,,,,0.03495602086266821,,
P08908,5ht1a_human,ENSG00000178394,LD55,Fragile X chromosome,0.10171658889488958,,,,,,,,,,,,,,,0.1654922726831635,,,,,0.03647584785669726,,
P08908,5ht1a_human,ENSG00000178394,LD90.4,Rett syndrome,0.03963211785844452,,,,,,,,,,,,,,,0.06079307976116211,,,,,0.08797489452681805,,
P08908,5ht1a_human,ENSG00000178394,MA18.0Z,"Elevated blood glucose level, unspecified",0.013788120792320033,,,,,,,,,,,,,,,,,,,,0.11340205864293641,,
P08908,5ht1a_human,ENSG00000178394,MB21.Z,"Symptoms and signs involving cognition, unspecified",0.04509885363141528,,,,,,,,,,,,,,,0.12158615952232422,,,,,0.09634118212808794,,
P08908,5ht1a_human,ENSG00000178394,MB23.0,Aggressive behaviour,0.3695798546847018,,,,,,,,,,,,,,,0.607930797611621,,,,,,,
P08908,5ht1a_human,ENSG00000178394,MB24.3,Anxiety,0.5779009113764645,,,,,,,,,,,,,,,0.9096339459989383,,,,,0.8193834281327272,,
P08908,5ht1a_human,ENSG00000178394,MB24.F,Restlessness,0.5749009981546056,,,,,,,,,,,,,,,0.9456684879483327,,,,,,,
P08908,5ht1a_human,ENSG00000178394,MB27.2Z,"Hallucinations, unspecified",0.0025870589827929123,,,,,,,,,,,,,,,,,,,,0.021277577916406734,,
P08908,5ht1a_human,ENSG00000178394,MB4D,"Headache, not elsewhere classified",0.00302850158699964,,,,,,,,,,,,,,,,,,,,0.024908275735476142,,
P08908,5ht1a_human,ENSG00000178394,MC41,Tinnitus,0.0036957985468470188,,,,,,,,,,,,,,,,,,,,0.030396539880581056,,
P08908,5ht1a_human,ENSG00000178394,MC81.1,"Bradycardia, unspecified",0.008615933023407856,,,,,,,,,,,,,,,,,,,,0.07086277794493459,,
P08908,5ht1a_human,ENSG00000178394,MC82.Z,"Cardiac arrest, unspecified",0.0029566388374776143,,,,,,,,,,,,,,,,,,,,0.024317231904464845,,
P08908,5ht1a_human,ENSG00000178394,MD11.0,Apnoea,0.2592602680613183,,,,,,,,,,,,,,,0.42555155832813474,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,MD11.1,Asphyxia,0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,MD11.5,Dyspnoea,0.011788889246234429,,,,,,,,,,,,,,,,,,,,0.09695913821564445,,
P08908,5ht1a_human,ENSG00000178394,MD90,Nausea or vomiting,0.3058195254150901,,,,,,,,,,,,,,,0.5030498974826805,,,,,,,
P08908,5ht1a_human,ENSG00000178394,MD90.0,Nausea,0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,MD90.1,Vomiting,0.009424286294459896,,,,,,,,,,,,,,,,,,,,0.07751117669548169,,
P08908,5ht1a_human,ENSG00000178394,MD92,Dyspepsia,0.3788193510518193,,,,,,,,,,,,,,,0.6231290675519116,,,,,,,
P08908,5ht1a_human,ENSG00000178394,MD93,Dysphagia,0.4619748183558772,,,,,,,,,,,,,,,0.7599134970145264,,,,,,,
P08908,5ht1a_human,ENSG00000178394,MG20.Z,"Cachexia, unspecified",0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,MG27,"Haemorrhage, not elsewhere classified",0.010779412428303803,,,,,,,,,,,,,,,,,,,,0.08865657465169474,,
P08908,5ht1a_human,ENSG00000178394,MG30.01,Chronic widespread pain,0.019851558679362415,,,,,,,,,,,,,,,,,,,,0.16327153318562962,,
P08908,5ht1a_human,ENSG00000178394,MG3Z,"Pain, unspecified",0.37156634640363206,,,,,,,,,,,,,,,0.607930797611621,,,,,0.06535256074324927,,
P08908,5ht1a_human,ENSG00000178394,MG40.Z,"Shock, unspecified",0.0022174791281082107,,,,,,,,,,,,,,,,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,MG43.0,Polydipsia,0.008500336657748143,,,,,,,,,,,,,,,,,,,,0.06991204172533642,,
P08908,5ht1a_human,ENSG00000178394,MG43.6,Excessive weight gain,0.3695798546847018,,,,,,,,,,,,,,,0.607930797611621,,,,,,,
P08908,5ht1a_human,ENSG00000178394,MG43.7,Anorexia,0.011873687290670417,,,,,,,,,,,,,,,,,,,,0.09765656993623778,,
P08908,5ht1a_human,ENSG00000178394,MG45.Z,"Syncope and collapse, unspecified",0.0022174791281082107,,,,,,,,,,,,,,,,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,NA07.Z,"Intracranial injury, unspecified",0.012822784815862867,,,,,,,,,,,,,,,,,,,,0.10546253674135089,,
