,Drug Name,Drug Class,LigandType,ModeOfAction,DrugAliases,TargetCategory,Gene,EntryName,Uniprot,Class,Target class,Subfamily,Target_novelty,INDEX,Trial name,Indication(s),Phase,PhaseDate,ClinicalStatus,Status,Approval,Note
10,t-62,small molecule,Nucleotide ,agonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1930,t-62,Analgesics,2,2008,discontinued,in trial,-,"discontinued because patients experienced asymptomatic, transient elevations in liver transaminases"
11,tecadenoson,small molecule,Nucleotide ,agonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1973,tecadenoson,Anti-Arrhythmia,3,2009,discontinued,in trial,-,
12,theophylline,small molecule,Nucleotide ,antagonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,53,"adc4022, low-dose inhaled theophylline",Bronchodilator,4,,-,approved,1976,
13,adenosine,small molecule,Nucleotide ,agonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2267,"adenogesic, adenosine (intravenous)",Analgesics,4,,-,approved,1989,
14,apadenoson,small molecule,Nucleotide ,agonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,ASH_Sep2016_315,apadenoson,atrial fibrillation,3,2011,discontinued,in trial,-,
15,avr118,peptide nucleic acid,Nucleotide ,not available,,secondary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2269,"avr123, AVR118","Antineoplastic agent, wound healing accelerant",2,2011,discontinued,in trial,-,
16,biib014,small molecule,Nucleotide ,antagonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2164,vipadenantis,Antiparkinson,2,2006,discontinued,in trial,-,
17,binodenoson,small molecule,Nucleotide ,agonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,363,"binodenoson, mre 0470,corvue",Diagnostic,3,2009,Completed,in trial,-,No development reported
18,bvt.115959,small molecule,Nucleotide ,agonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,411,bvt.115959,Analgesics,2,2007,discontinued,in trial,-,
19,caffeine,small molecule,Nucleotide ,antagonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,NRDD072,-,Central Nervous System Stimulants,4,,-,approved,1999,
20,ctp-499,small molecule,Nucleotide ,not available,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2268,ctp-499,diabetic nephropathy,2,2011,Completed,in trial,-,
21,istradefylline,small molecule,Nucleotide ,antagonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1043,"istradefylline, kw-6002",Antiparkinson,3,2005,Completed,in trial,-,Not approved by fda -denied in 2008
22,opa-6566,small molecule,Nucleotide ,agonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,MMAmay2016_0512,opa-6566,Antiglaucomic,2,2011,Completed,in trial,-,
23,pbf-509,small molecule,Nucleotide ,antagonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,MMAapril2016_0077,pbf-509,Antineoplastic,2,2015,recruiting,in trial,-,
24,pentoxifylline,small molecule,Nucleotide ,antagonist,,secondary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1586,"pentoxifylline, eht0201",amyotrophic lateral sclerosis (ALS),4,,-,approved,1984,
25,pentoxifylline,small molecule,Nucleotide ,antagonist,,secondary,ADORA2A,aa2br_human,P29275,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,ASH_Sep2016_316,pentoxifylline,irritable bowel syndrome,4,,-,approved,1984,
26,preladenant,small molecule,Nucleotide ,antagonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1645,"preladenant, sch-420814",Antiparkinson,3,2011,discontinued,in trial,-,
27,regadenoson,small molecule,Nucleotide ,agonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1726,"regadenoson,lexiscan",Diagnostic,4,,-,approved,2008,
28,t111,small molecule,Nucleotide ,agonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,MMAmay2016_0579,"t111, Nalbuphine extended release",pruritus,3,2014,Ongoing,in trial,-,
29,theophylline,small molecule,Nucleotide ,antagonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,53,"adc4022, low-dose inhaled theophylline",Bronchodilator,4,,-,approved,1976,
30,tozadenant,small molecule,Nucleotide ,antagonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1926,syn-115,Antiparkinson,3,2017,Not open yet,in trial,-,
31,v81444,small molecule,Nucleotide ,antagonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,MMAmay2016_0766,"v81444, CPI 444",Antiparkinson,2,2014,Completed,in trial,-,
32,adenosine,small molecule,Nucleotide ,agonist,,primary,ADORA2B,aa2br_human,P29275,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2267,"adenogesic, adenosine (intravenous)",Analgesics,4,,-,approved,1989,
33,avr118,peptide nucleic acid,Nucleotide ,not available,,secondary,ADORA2B,aa2br_human,P29275,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2269,"avr123, AVR118","Antineoplastic agent, wound healing accelerant",2,2011,discontinued,in trial,-,
34,caffeine,small molecule,Nucleotide ,antagonist,,secondary,ADORA2B,aa2br_human,P29275,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,ASH_Sep2016_317,caffeine,coronary artery disease,4,,-,approved,1999,
35,cvt-6883,small molecule,Nucleotide ,antagonist,,primary,ADORA2B,aa2br_human,P29275,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,569,cvt-6883,Anti-Asthmatic,1,2008,Completed,in trial,-,
36,theophylline,small molecule,Nucleotide ,antagonist,,primary,ADORA2B,aa2br_human,P29275,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,53,"adc4022, low-dose inhaled theophylline",Bronchodilator,4,,-,approved,1976,
37,adenosine,small molecule,Nucleotide ,agonist,,primary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2267,"adenogesic, adenosine (intravenous)",Analgesics,4,,-,approved,1989,
38,avr118,peptide nucleic acid,Nucleotide ,not available,,secondary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2269,"avr123, AVR118","Antineoplastic agent, wound healing accelerant",2,2011,discontinued,in trial,-,
39,caffeine,small molecule,Nucleotide ,antagonist,,secondary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,ASH_Sep2016_319,caffeine,atherosclerosis,4,,-,approved,1999,
40,cf101,small molecule,Nucleotide ,agonist,,primary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,ASH_Sep2016_320,"cf101, Piclidenoson",keratoconjunctivitis sicca,3,2015,Not open yet,in trial,-,
41,cf-101,small molecule,Nucleotide ,agonist,,primary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,473,cf-101,Anti-inflammatory ; DMARD,3,2015,Not open yet,in trial,-,
42,cf-102,small molecule,Nucleotide ,agonist,,primary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,474,cf-102,Antineoplastic,2,2014,recruiting,in trial,-,
43,cf602,small molecule,Nucleotide ,agonist,,primary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,MMAapril2016_0230,cf602,sexual dysfunction,1,2017,Not open yet,in trial,-,
44,theophylline,small molecule,Nucleotide ,antagonist,,secondary,ADORA3,aa3r_human,P0DMS8,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,ASH_Sep2016_318,theophylline,Anti-Asthmatic,4,,-,approved,1976,
45,agn-214868,small molecule,Aminergic ,antagonist,,,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,85,"agn-214868, Senrebotase",Analgesics; neuralgia,2,2012,Terminated,in trial,-,Lack of efficacy
46,alfuzosin,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,107,"alfuzosin,uroxatral",benign prostatic hyperplasia,4,,-,approved,2003,
47,amiodarone,small molecule,Aminergic ,antagonist,,secondary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,160,"amiodarone hcl,amio-aqueous iv",Anti-Arrhythmia,4,,-,approved,1985,
48,asenapine,small molecule,Aminergic ,antagonist,,secondary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,250,asenapine,schizophrenia,4,,-,approved,2009,
49,benperidol,small molecule,Aminergic ,not available,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,ASH_Oct2016_375,benperidol,Antipsychotic,4,,-,approved,2006,
50,benzphetamine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD046,-,Central Nervous System Stimulants,4,,-,approved,1960,
51,bethanidine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD055,-,Antihypertensive,4,,-,approved,1982,
52,carvedilol,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,434,"carvedilol, coreg",congestive heart failure,4,,-,approved,1995,
53,cicletanine ,small molecule,Aminergic ,not available,,secondary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,2271,cicletanine hydrochloride,Antihypertensive,2,2016,Not open yet,in trial,-,Diuretic
54,dapiprazole,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD141,-,opthalmological,4,,-,approved,1990,
55,debrisoquin,small molecule,Aminergic ,not available,,secondary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD143,-,Antihypertensive,4,,-,approved,1970,Approved from before 1970
56,dipivefrin,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_88,dipivefrin,Antiglaucomic,4,,-,approved,1980,
57,doxazosin,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD187,-,Anticholesteremic ; Antihypertensive ; Vasodilator,4,,-,approved,1990,
58,dronedarone,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD190,-,Anti-Arrhythmia,4,,-,approved,2009,
59,dronedarone,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,2270,dronedarone,Anti-Arrhythmia,4,,-,approved,2009,
60,droxidopa,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,2272,droxidopa,orthostatic hypotension,4,,-,approved,2014,
61,ephedrine,small molecule,Aminergic ,not available,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD204,-,Central Nervous System Stimulants,4,,-,approved,1963,
62,epinephrine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,2066,"transdermal lidocaine/epinephrine patch,lidosite",Anesthetics,4,,-,approved,1976,
63,ergoloid,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD209,-,Nootropic ; Vasodilator,4,,-,approved,1953,
64,ergonovine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Oct2016_367,ergonovine,antihaemorrhagic,4,,-,approved,1946,
65,ergotamine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_87,ergotamine,Anti-migraine,4,,-,approved,1960,
66,iloperidone,small molecule,Aminergic ,antagonist,,secondary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,951,"iloperidone,fanapt, fiapta, zomaril",Antipsychotic ; atypical,4,,-,approved,2009,
67,indoramin,small molecule,Aminergic ,not available,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Oct2016_432,indoramin,Antihypertensive,4,,-,approved,1993,
68,isometheptene,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,MMAmar2016_0022,"tnx-201, single isomer isometheptene, imh",Anti-migraine,4,,-,approved,1962,copy with conflicting subfamily
69,isometheptene,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Oct2016_417,isometheptene,migraines,4,,-,approved,-,copy with conflicting subfamily
70,labetalol,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD296,-,Antihypertensive,4,,-,approved,1984,
71,levomepromazine,small molecule,Aminergic ,antagonist,,secondary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD342,-,schizophrenia,4,,-,approved,1982,Approved prior to 1982 and then discontinued
72,levonordefrin,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Oct2016_405,levonordefrin,decongestant,4,,-,approved,1960,
73,levonordefrin,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Oct2016_429,alpha-methylnoradrenaline,nasal decongestant,4,,-,approved,1960,
74,lisdexamfetamine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD306,-,Central Nervous System Stimulants,4,,-,approved,2007,FDA approval 2007 for ADHD; pro-drug of dextroamphetamine so not NME
75,mephentermine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD326,-,Antihypotensive ; Vasoconstrictor,4,,-,approved,1951,
76,metaraminol,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD333,-,Antihypotensive ; Vasoconstrictor,4,,-,approved,1954,
77,methoxamine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD343,-,Antihypotensive ; Vasoconstrictor,4,,-,approved,1982,
78,midodrine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD365,-,Antihypotensive ; Vasoconstrictor,4,,-,approved,1996,
79,min-117,small molecule,Aminergic ,not available,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,MMAapril2016_0206,min-117,Anti-depressant,2,2016,Completed,in trial,-,
80,naphazoline,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_86,naphazoline,nasal obstruction,4,,-,approved,1971,
81,nefazodone,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD380,-,Anti-depressant,4,,-,approved,1994,
82,nicergoline,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD384,-,Nootropic ; Vasodilator,4,,-,approved,-,"Marketed but I don't think fda approved, if so then long ago"
83,norepinephrine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD395,-,Antihypotensive ; Vasoconstrictor,4,,-,approved,1950,
84,norepinephrine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,2273,dermx,for prevention of dermatitis during radiotherapy,4,,-,approved,1950,
85,olanzapine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1476,"olanzapine/fluoxetine combination,symbyax (zyprexa/prozac)",Anti-depressant,4,,-,approved,1996,
86,olanzapine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,APR13_0013,alks 3831,schizophrenia,4,,-,approved,1996,
87,olanzapine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,MMAmay2016_0204,"alks 3831,  olanzapine + alks 33,samidorphan",schizophrenia,4,,-,approved,1996,
88,olanzapine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1475,"olanzapine,zyprexa, zypadhera, zyprexa relprevv",schizophrenia,4,,-,approved,1996,
89,olanzapine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1515,"orex-003, olanzapine plus zonisamide sr",schizophrenia,4,,-,approved,1996,
90,oxymetazoline,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1491,oms-103hp,Analgesics,4,,-,approved,1986,
91,pardoprunox,small molecule,Aminergic ,agonist,,,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1563,"pardoprunox, slv 308",Antiparkinson,3,2009,discontinued,in trial,-,
92,phendimetrazine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD427,-,Appetite suppressant,4,,-,approved,1976,
93,phenoxybenzamine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD434,-,Anticonvulsants; Hypnotics and Sedatives,4,,-,approved,1953,
94,phentolamine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,288,"aviptadil,invicorp",sexual dysfunction,4,,-,approved,1952,
95,phenylephrine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1675,"psd-503, phenylephrine",incontinence,4,,-,approved,1952,
96,phenylpropanolamine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD439,-,Appetite Depressants; Nasal Decongestants,4,,-,approved,1958,
97,prazosin,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD453,-,Antihypertensive ; antispasmodics,4,,-,approved,1976,
98,promazine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD462,-,Antiemetics; Antipsychotic,4,,-,approved,1956,
99,propericiazine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD466,-,schizophrenia,4,,-,approved,-,Not FDA approved but used in other countries
100,propiomazine,small molecule,Aminergic ,antagonist,,secondary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD467,-,Hypnotics and Sedatives,4,,-,approved,1960,
101,pseudoephedrine,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,789,fexofenadine + ps/,Anti-Allergic,4,,-,approved,1975,
102,rauwolfia serpentina,small molecule,Aminergic ,antagonist,,,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,ASH_Sep2016_84,rauwolfia serpentina,Antihypertensive,4,,-,approved,-,active ingrediant seems to be resperine - which targets Synaptic vesicular amine transporter
103,sertindole,small molecule,Aminergic ,antagonist,,secondary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1838,serdolect,schizophrenia,3,2015,recruiting,withdrawn,1998,Not FDA approved but used in other countries; was withdrawn in 1996 but looks to be approved again in Europe and soon to market
104,silodosin,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1852,silodosin,BPH-related urinary symptoms,4,,-,approved,2008,
105,sou-001,small molecule,Aminergic ,not available,,,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1881,"sou-001, drp-001",incontinence,2,2006,discontinued,in trial,-,
106,tamsulosin,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,675,"dutasteride + tamsulosin,jalyn",benign prostatic hyperplasia,4,,-,approved,1997,
107,tamsulosin,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1946,"tamsulosin, ym-617,harnal, flomax",urinary symptoms associated with BPH,4,,-,approved,1997,
108,tedatioxetine,small molecule,Aminergic ,antagonist,,,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1173,lu aa24530,Anti-depressant,2,2009,discontinued,in trial,-,discontinued for strategic reasons
109,terazosin,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD514,-,Antineoplastic s; Antihypertensive,4,,-,approved,1987,
