,Drug Name,Drug Class,LigandType,ModeOfAction,DrugAliases,TargetCategory,Gene,EntryName,Uniprot,Class,Target class,Subfamily,Target_novelty,INDEX,Trial name,Indication(s),Phase,PhaseDate,ClinicalStatus,Status,Approval,Note
10,salbutamol,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,102,"albuterol,ventolin",Bronchodilator,4,,-,approved,1981,
11,ipratropium,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1021,"ipratropium bromide + albuterol sulfate,duoneb",chronic obstructive pulmonary disease (COPD),4,,-,approved,1986,
12,ipratropium,small molecule,Aminergic ,antagonist,,primary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,1021,"ipratropium bromide + albuterol sulfate,duoneb",chronic obstructive pulmonary disease (COPD),4,,-,approved,1986,
13,salbutamol,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1021,"ipratropium bromide + albuterol sulfate,duoneb",chronic obstructive pulmonary disease (COPD),4,,-,approved,1981,
14,irbesartan,small molecule,Peptide,antagonist,,primary,AGTR1,agtr1_human,P30556,Class A (Rhodopsin),GPCR;Rhodopsin,Angiotensin receptors,established,1023,"irbesartan,avapro, irbetan",Antihypertensive,4,,-,approved,1997,
15,isis 325568,antisense oligo,Peptide,antagonist,,primary,GCGR,glr_human,P47871,Class B1 (Secretin),GPCR;Secretin,Glucagon receptor family,established,1030,isis 325568,Antidiabetic,1,2007,discontinued,in trial,-,
16,istradefylline,small molecule,Nucleotide ,antagonist,,primary,ADORA2A,aa2ar_human,P29274,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1043,"istradefylline, kw-6002",Antiparkinson,3,2005,completed,in trial,-,Not approved by fda -denied in 2008
17,exenatide,peptide,Peptide,agonist,,primary,GLP1R,glp1r_human,P43220,Class B1 (Secretin),GPCR;Secretin,Glucagon receptor family,established,1046,itca 650,Antidiabetic,3,2017,not open yet,in trial,-,
18,iti-007,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1048,"iti-007, iti-722",schizophrenia,3,2016,recruiting,in trial,-,
19,iti-007,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1048,"iti-007, iti-722",schizophrenia,3,2016,recruiting,in trial,-,
20,itopride,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1049,"itopride,itax",motilitant,3,2012,completed,in trial,-,Not approved yet by FDA
21,jnj-37822681,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1054,jnj-37822681,schizophrenia,2,2013,completed,in trial,-,
22,jvs-100,dna plasmid,Protein,agonist,,primary,CXCR4,cxcr4_human,P61073,Class A (Rhodopsin),GPCR;Rhodopsin,Chemokine receptors,established,1056,jvs-100,cardioprotectant,2,2015,recruiting,in trial,-,
23,ropinirole,small molecule,Aminergic ,agonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1057,jzp-7,restless legs syndrome,1,2008,discontinued,in trial,-,
24,ropinirole,small molecule,Aminergic ,agonist,,primary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1057,jzp-7,restless legs syndrome,1,2008,discontinued,in trial,-,
25,alfuzosin,small molecule,Aminergic ,agonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,107,"alfuzosin,uroxatral",benign prostatic hyperplasia,4,,-,approved,2003,
26,alfuzosin,small molecule,Aminergic ,agonist,,primary,ADRA1B,ada1b_human,P35368,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,107,"alfuzosin,uroxatral",benign prostatic hyperplasia,4,,-,approved,2003,
27,alfuzosin,small molecule,Aminergic ,agonist,,primary,ADRA1D,ada1d_human,P25100,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,107,"alfuzosin,uroxatral",benign prostatic hyperplasia,4,,-,approved,2003,
28,ketotifen,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,1074,"ketotifen fumarate,zaditen, zaditor",Anti-Allergic,4,,-,approved,1999,
29,kn38-7271,small molecule,Lipid ,agonist,,primary,CNR1,cnr1_human,P21554,Class A (Rhodopsin),GPCR;Rhodopsin,Cannabinoid receptors,established,1076,"kn38-7271, BAY 7271, BAY-387271",neuroprotectant,2,2005,discontinued,in trial,-,No development reported
30,kn38-7271,small molecule,Lipid ,agonist,,primary,CNR2,cnr2_human,P34972,Class A (Rhodopsin),GPCR;Rhodopsin,Cannabinoid receptors,established,1076,"kn38-7271, BAY 7271, BAY-387271",neuroprotectant,2,2005,discontinued,in trial,-,No development reported
31,kos-2187,small molecule,Peptide,agonist,,primary,MLNR,mtlr_human,O43193,Class A (Rhodopsin),GPCR;Rhodopsin,Motilin receptors,not established,1078,kos-2187,gastrointestinal motility disorders,1,2006,discontinued,in trial,-,
32,kp201,small molecule,Peptide,agonist,,primary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,1079,kp201 (prodrug of hydrocodone),Analgesics,2,2015,completed,in trial,-,Difficult to get good clinical trial info for
33,kp201,small molecule,Peptide,agonist,,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,1079,kp201 (prodrug of hydrocodone),Analgesics,2,2015,completed,in trial,-,Difficult to get good clinical trial info for
34,kp201,small molecule,Peptide,agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,1079,kp201 (prodrug of hydrocodone),Analgesics,2,2015,completed,in trial,-,Difficult to get good clinical trial info for
35,kuc-7483,small molecule,Aminergic ,agonist,,primary,ADRB3,adrb3_human,P13945,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1082,"kuc-7483, Ritobegron",overactive bladder,3,2009,completed,in trial,-,"Article from 2012 suggests may be worth more research, but also possibly discontinued"
36,lanreotide,peptide,Peptide,agonist,,primary,SSTR1,ssr1_human,P30872,Class A (Rhodopsin),GPCR;Rhodopsin,Somatostatin receptors,established,1088,"lanreotide ,somatuline autogel, somatuline depot",acromegaly,4,,-,approved,2007,
37,lanreotide,peptide,Peptide,agonist,,primary,SSTR5,ssr5_human,P35346,Class A (Rhodopsin),GPCR;Rhodopsin,Somatostatin receptors,established,1089,"lanreotide,somatuline autogel, somatuline depot",acromegaly,4,,-,approved,2007,
38,las-100977,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1092,las-100977,Bronchodilator,2,2011,completed,in trial,-,
39,lasmiditan,small molecule,Aminergic ,agonist,,primary,HTR1F,5ht1f_human,P30939,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1093,"lasmiditan, col-144, ly-573144",Anti-migraine,3,2015,ongoing,in trial,-,
40,latanoprost,small molecule,Lipid ,agonist,,primary,PTGFR,pf2r_human,P43088,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,1095,"latanoprost + timolol,xalcom, xalacom",Antiglaucomic,4,,-,approved,1996,
41,timolol,small molecule,Aminergic ,antagonist,,primary,ADRB1,adrb1_human,P08588,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1095,"latanoprost + timolol,xalcom, xalacom",Antiglaucomic,4,,-,approved,1981,
42,timolol,small molecule,Aminergic ,antagonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1095,"latanoprost + timolol,xalcom, xalacom",Antiglaucomic,4,,-,approved,1981,
43,latanoprost,small molecule,Lipid ,agonist,,primary,PTGFR,pf2r_human,P43088,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,1096,"latanoprost, (sustained release, punctal plug delivery system)",Antiglaucomic,4,,-,approved,1996,
44,latanoprost,small molecule,Lipid ,agonist,,primary,PTGFR,pf2r_human,P43088,Class A (Rhodopsin),GPCR;Rhodopsin,Prostanoid receptors,established,1097,"latanoprost,xalatan fixed flow device",Antiglaucomic,4,,-,approved,1996,
45,sonidegib,small molecule,Protein,antagonist,,primary,SMO,smo_human,Q99835,Class F (Frizzled),GPCR;Frizzled,Frizzled,established,1101,lde225,Antineoplastic,4,,-,approved,2015,
46,lesogaberan,small molecule,Amino acid ,agonist,,primary,GABBR1,gabr1_human,Q9UBS5,Class C (Glutamate) ,GPCR;Glutamate,GABAB receptors,established,1108,"lesogaberan, azd-3355",gastrointestinal reflux disease,2,2016,ongoing,in trial,-,Had been discontinued since 2009 - new trial in 2016
47,lesogaberan,small molecule,Amino acid ,agonist,,primary,GABBR2,gabr2_human,O75899,Class C (Glutamate) ,GPCR;Glutamate,GABAB receptors,established,1108,"lesogaberan, azd-3355",gastrointestinal reflux disease,2,2016,ongoing,in trial,-,Had been discontinued since 2009 - new trial in 2016
48,ambrisentan,small molecule,Peptide,antagonist,,primary,EDNRA,ednra_human,P25101,Class A (Rhodopsin),GPCR;Rhodopsin,Endothelin receptors,established,1111,letairis,Antihypertensive,4,,-,approved,2007,
49,ambrisentan,small molecule,Peptide,antagonist,,secondary,EDNRB,ednrb_human,P24530,Class A (Rhodopsin),GPCR;Rhodopsin,Endothelin receptors,established,1111,letairis,Antihypertensive,4,,-,approved,2007,
50,leuprolide,peptide,Peptide,agonist,,primary,GNRHR,gnrhr_human,P30968,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,1113,leuprolide,Antineoplastic ; endometriosis,4,,-,approved,1985,
51,leuprolide,peptide,Peptide,agonist,,primary,GNRHR,gnrhr_human,P30968,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,1114,"leuprolide acetate, tap-144 sr",Antineoplastic ; endometriosis,4,,-,approved,1985,
52,leuprolide,peptide,Peptide,agonist,,primary,GNRHR,gnrhr_human,P30968,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,1115,leupromaxx,Antineoplastic ; endometriosis,4,,-,approved,1985,
53,salbutamol,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1116,levalbuterol,Bronchodilator,4,,-,approved,1981,
54,levocetirizine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,1118,"levocetirizine dihydrochloride,xusal, xyzal",Anti-Allergic,4,,-,approved,2007,Actually approved in 2007 but not considered a NME because enantiomer of cetirizine  I think
55,levodopa,small molecule,Aminergic ,agonist,,primary,DRD1,drd1_human,P21728,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1119,"levodopa + carbidopa,duodopa",Antiparkinson,4,,-,approved,2015,
56,levodopa,small molecule,Aminergic ,agonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1119,"levodopa + carbidopa,duodopa",Antiparkinson,4,,-,approved,2015,
57,levodopa,small molecule,Aminergic ,agonist,,primary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1119,"levodopa + carbidopa,duodopa",Antiparkinson,4,,-,approved,2015,
58,levodopa,small molecule,Aminergic ,agonist,,primary,DRD4,drd4_human,P21917,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1119,"levodopa + carbidopa,duodopa",Antiparkinson,4,,-,approved,2015,
59,levodopa,small molecule,Aminergic ,agonist,,primary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1119,"levodopa + carbidopa,duodopa",Antiparkinson,4,,-,approved,2015,
60,salbutamol,small molecule,Aminergic ,agonist,,primary,ADRB2,adrb2_human,P07550,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1146,"lipo-102, salmeterol xinafoate + fluticasone propionate",symptomatic exophthalmos associated with thyroid-related eye disease,4,,-,approved,1981,
61,alks 33,small molecule,Peptide,antagonist,,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,115,"alks 29, Baclofen+samidorphan",alcohol dependance; Anti-depressant,1,2008,discontinued,in trial,-,
62,alks 33,small molecule,Peptide,antagonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,115,"alks 29, Baclofen+samidorphan",alcohol dependance; Anti-depressant,1,2008,discontinued,in trial,-,
63,alks 33,small molecule,Peptide,antagonist,,secondary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,115,"alks 29, Baclofen+samidorphan",alcohol dependance; Anti-depressant,1,2008,discontinued,in trial,-,
64,baclofen,small molecule,Amino acid ,agonist,,primary,GABBR1,gabr1_human,Q9UBS5,Class C (Glutamate) ,GPCR;Glutamate,GABAB receptors,established,115,"alks 29, Baclofen/samidorphan",alcohol dependance,1,2008,discontinued,in trial,-,
65,baclofen,small molecule,Amino acid ,agonist,,primary,GABBR2,gabr2_human,O75899,Class C (Glutamate) ,GPCR;Glutamate,GABAB receptors,established,115,"alks 29, Baclofen/samidorphan",alcohol dependance,1,2008,discontinued,in trial,-,
66,liraglutide,protein,Peptide,agonist,,primary,GLP1R,glp1r_human,P43220,Class B1 (Secretin),GPCR;Secretin,Glucagon receptor family,established,1154,liraglutide,Antidiabetic,4,,-,approved,2009,
67,lixivaptan,small molecule,Peptide,antagonist,,primary,AVPR2,v2r_human,P30518,Class A (Rhodopsin),GPCR;Rhodopsin,Vasopressin and oxytocin receptors,established,1157,lixivaptan,hyponatremia,3,2010,completed,in trial,-,"Some information from 2012 but does not appear to labeled discontinued, just postponed"
68,lofexidine,small molecule,Aminergic ,agonist,,primary,ADRA2A,ada2a_human,P08913,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1159,"lofexidine,britlofex",opiate withdrawal,4,,-,approved,2006,
69,lofexidine,small molecule,Aminergic ,agonist,,primary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1159,"lofexidine,britlofex",opiate withdrawal,4,,-,approved,2006,
70,lofexidine,small molecule,Aminergic ,agonist,,primary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1159,"lofexidine,britlofex",opiate withdrawal,4,,-,approved,2006,
71,alks 33,small molecule,Peptide,antagonist,,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,116,"alks 33, samidorphan",alcohol dependance; Anti-depressant,2,2009,completed,in trial,-,
72,alks 33,small molecule,Peptide,antagonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,116,"alks 33, samidorphan",alcohol dependance; Anti-depressant,2,2009,completed,in trial,-,
73,alks 33,small molecule,Peptide,antagonist,,secondary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,116,"alks 33, samidorphan",alcohol dependance; Anti-depressant,2,2009,completed,in trial,-,
74,loratadine,small molecule,Aminergic ,antagonist,,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,1163,"loratadine + montelukast sodium,claritin + singulair",Anti-Asthmatic,4,,-,approved,1993,
75,montelukast,small molecule,Lipid ,antagonist,,primary,CYSLTR1,cltr1_human,Q9Y271,Class A (Rhodopsin),GPCR;Rhodopsin,Leukotriene receptors,established,1163,"loratadine + montelukast sodium,claritin + singulair",Anti-Asthmatic,3,2012,completed,in trial,-,FDA rejected combination form
76,lorcaserin,small molecule,Aminergic ,agonist,,primary,HTR2C,5ht2c_human,P28335,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1164,lorcaserin,Anti-obesity,4,,-,approved,2012,
77,methamphetamine,small molecule,Aminergic ,agonist,,primary,ADRA2A,ada2a_human,P08913,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1167,low dose intravenous methamphetamine,neuroprotectant,4,,-,approved,1943,
78,methamphetamine,small molecule,Aminergic ,agonist,,primary,ADRA2B,ada2b_human,P18089,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1167,low dose intravenous methamphetamine,neuroprotectant,4,,-,approved,1943,
79,methamphetamine,small molecule,Aminergic ,agonist,,primary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1167,low dose intravenous methamphetamine,neuroprotectant,4,,-,approved,1943,
80,methamphetamine,small molecule,Aminergic ,agonist,,primary,TAAR1,taar1_human,Q96RJ0,Class A (Rhodopsin),GPCR;Rhodopsin,Trace amine receptors,established,1167,low dose intravenous methamphetamine,neuroprotectant,4,,-,approved,1943,
81,alks 37,small molecule,Peptide,antagonist,,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,117,alks 37,motilitant,2,2011,discontinued,in trial,-,
82,alks 37,small molecule,Peptide,antagonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,117,alks 37,motilitant,2,2011,discontinued,in trial,-,
83,alks 37,small molecule,Peptide,antagonist,,secondary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,117,alks 37,motilitant,2,2011,discontinued,in trial,-,
84,lu 02-750,unknown,Aminergic ,unknown,,primary,DRD1,drd1_human,P21728,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1170,lu 02-750,Antiparkinson,1,2009,discontinued,in trial,-,
85,lu 02-750,unknown,Aminergic ,unknown,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1170,lu 02-750,Antiparkinson,1,2009,discontinued,in trial,-,
86,lu 02-750,unknown,Aminergic ,unknown,,primary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1170,lu 02-750,Antiparkinson,1,2009,discontinued,in trial,-,
87,lu 02-750,unknown,Aminergic ,unknown,,primary,DRD4,drd4_human,P21917,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1170,lu 02-750,Antiparkinson,1,2009,discontinued,in trial,-,
88,lu 02-750,unknown,Aminergic ,unknown,,primary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1170,lu 02-750,Antiparkinson,1,2009,discontinued,in trial,-,
89,vortioxetine,small molecule,Aminergic ,agonist,,primary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1171,lu aa21004,Anti-depressant,4,,-,approved,2013,
90,vortioxetine,small molecule,Aminergic ,agonist,,primary,HTR1B,5ht1b_human,P28222,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1171,lu aa21004,Anti-depressant,4,,-,approved,2013,
91,vortioxetine,small molecule,Aminergic ,agonist,,primary,HTR7,5ht7r_human,P34969,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1171,lu aa21004,Anti-depressant,4,,-,approved,2013,
92,tedatioxetine,small molecule,Aminergic ,antagonist,,primary,ADRA1A,ada1a_human,P35348,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1173,lu aa24530,Anti-depressant,2,2009,discontinued,in trial,-,discontinued for strategic reasons
93,tedatioxetine,small molecule,Aminergic ,antagonist,,primary,HTR2C,5ht2c_human,P28335,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1173,lu aa24530,Anti-depressant,2,2009,discontinued,in trial,-,discontinued for strategic reasons
94,lu ae04621,unknown,Aminergic ,agonist,,primary,DRD1,drd1_human,P21728,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1175,lu ae04621,Antiparkinson,1,2016,completed,in trial,-,
95,lu ae04621,unknown,Aminergic ,agonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1175,lu ae04621,Antiparkinson,1,2016,completed,in trial,-,
96,lu ae04621,unknown,Aminergic ,agonist,,primary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1175,lu ae04621,Antiparkinson,1,2016,completed,in trial,-,
97,lu ae04621,unknown,Aminergic ,agonist,,primary,DRD4,drd4_human,P21917,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1175,lu ae04621,Antiparkinson,1,2016,completed,in trial,-,
98,lu ae04621,unknown,Aminergic ,agonist,,primary,DRD5,drd5_human,P21918,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1175,lu ae04621,Antiparkinson,1,2016,completed,in trial,-,
99,zicronapine,small molecule,Aminergic ,antagonist,,primary,DRD4,drd4_human,P21917,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1176,lu-31130,schizophrenia,3,2011,completed,in trial,-,No development reported
100,lu-ae58054,small molecule,Aminergic ,antagonist,,primary,HTR6,5ht6r_human,P50406,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1177,"lu-ae58054 , ly-483518, sgs518",schizophrenia,3,2014,ongoing,in trial,-,
101,alks 33,small molecule,Peptide,antagonist,alks5461,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,118,"alks 33, alks 5461, Buprenorphine+samidorphan",alcohol dependance; Anti-depressant,3,2014,completed,in trial,-,
102,alks 33,small molecule,Peptide,antagonist,alks5461,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,118,"alks 33, alks 5461, Buprenorphine+samidorphan",alcohol dependance; Anti-depressant,3,2014,completed,in trial,-,
103,alks 33,small molecule,Peptide,antagonist,alks5461,secondary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,118,"alks 33, alks 5461, Buprenorphine+samidorphan",alcohol dependance; Anti-depressant,3,2014,completed,in trial,-,
104,buprenorphine,small molecule,Peptide,agonist,,primary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,118,"alks 5461, Buprenorphine/samidorphan",Anti-depressant; Analgesics; opioid addiction,3,2017,completed,in trial,-,
105,buprenorphine,small molecule,Peptide,agonist,,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,118,"alks 5461, Buprenorphine/samidorphan",Anti-depressant; Analgesics; opioid addiction,3,2017,completed,in trial,-,
106,lurasidone,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1184,"lurasidone, sm-13496,latuda",schizophrenia,4,,-,approved,2010,
107,lurasidone,small molecule,Aminergic ,antagonist,,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1184,"lurasidone, sm-13496,latuda",schizophrenia,4,,-,approved,2010,
108,lurasidone,small molecule,Aminergic ,antagonist,,secondary,ADRA2C,ada2c_human,P18825,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,1184,"lurasidone, sm-13496,latuda",schizophrenia,4,,-,approved,2010,
109,lurasidone,small molecule,Aminergic ,antagonist,,secondary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,1184,"lurasidone, sm-13496,latuda",schizophrenia,4,,-,approved,2010,
