,Unnamed: 0,actual_cost,date,drugClass,drugCode,drugName,drugNameQuery,items,quantity,section
24,24,180097.46,2014-06-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10516.0,1133229.0,4.10: Drugs Used In Substance Dependence
25,25,192303.47,2014-07-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11411.0,1208158.0,4.10: Drugs Used In Substance Dependence
26,26,179009.92,2014-08-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10697.0,1125364.0,4.10: Drugs Used In Substance Dependence
27,27,187392.2,2014-09-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11169.0,1177460.0,4.10: Drugs Used In Substance Dependence
28,28,200525.6,2014-10-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11833.0,1260350.0,4.10: Drugs Used In Substance Dependence
29,29,179954.52,2014-11-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10685.0,1133778.0,4.10: Drugs Used In Substance Dependence
30,30,196796.14,2014-12-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11749.0,1237724.0,4.10: Drugs Used In Substance Dependence
31,31,188530.97,2015-01-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11177.0,1186947.0,4.10: Drugs Used In Substance Dependence
32,32,169726.75,2015-02-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10157.0,1066151.0,4.10: Drugs Used In Substance Dependence
33,33,188210.39,2015-03-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11261.0,1181238.0,4.10: Drugs Used In Substance Dependence
34,34,179682.7,2015-04-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10820.0,1128726.0,4.10: Drugs Used In Substance Dependence
35,35,179033.73,2015-05-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10707.0,1124606.0,4.10: Drugs Used In Substance Dependence
36,36,190449.12,2015-06-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11377.0,1195821.0,4.10: Drugs Used In Substance Dependence
37,37,199344.58,2015-07-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11843.0,1252322.0,4.10: Drugs Used In Substance Dependence
38,38,179688.08,2015-08-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10840.0,1129142.0,4.10: Drugs Used In Substance Dependence
39,39,190382.89,2015-09-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11344.0,1195415.0,4.10: Drugs Used In Substance Dependence
40,40,189657.65,2015-10-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11416.0,1191620.0,4.10: Drugs Used In Substance Dependence
41,41,180376.6,2015-11-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10825.0,1134021.0,4.10: Drugs Used In Substance Dependence
42,42,199281.84,2015-12-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,12021.0,1251017.0,4.10: Drugs Used In Substance Dependence
43,43,176977.73,2016-01-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10600.0,1113229.0,4.10: Drugs Used In Substance Dependence
44,44,174779.83,2016-02-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10486.0,1096559.0,4.10: Drugs Used In Substance Dependence
45,45,181913.32,2016-03-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11002.0,1141102.0,4.10: Drugs Used In Substance Dependence
46,46,185651.18,2016-04-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11147.0,1164936.0,4.10: Drugs Used In Substance Dependence
47,47,179472.65,2016-05-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10805.0,1125961.0,4.10: Drugs Used In Substance Dependence
48,48,184774.66,2016-06-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11109.0,1159032.0,4.10: Drugs Used In Substance Dependence
49,49,178906.01,2016-07-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10784.0,1120523.0,4.10: Drugs Used In Substance Dependence
50,50,183331.63,2016-08-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11239.0,1148658.0,4.10: Drugs Used In Substance Dependence
51,51,197478.12,2016-09-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11045.0,1137491.0,4.10: Drugs Used In Substance Dependence
52,52,198275.38,2016-10-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10933.0,1102362.0,4.10: Drugs Used In Substance Dependence
53,53,203057.66,2016-11-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11064.0,1110159.0,4.10: Drugs Used In Substance Dependence
54,54,210833.08,2016-12-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11215.0,1142276.0,4.10: Drugs Used In Substance Dependence
55,55,200326.77438,2017-01-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10735.0,1081203.0,4.10: Drugs Used In Substance Dependence
56,56,182564.34907,2017-02-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9826.0,982633.0,4.10: Drugs Used In Substance Dependence
57,57,217945.66659,2017-03-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,11533.0,1171266.0,4.10: Drugs Used In Substance Dependence
58,58,186717.8723,2017-04-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10071.0,1004106.0,4.10: Drugs Used In Substance Dependence
59,59,208995.21094,2017-05-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10992.0,1122589.0,4.10: Drugs Used In Substance Dependence
61,1,41336.12,2012-07-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,2072.0,119691.0,2.4: Beta-Adrenoceptor Blocking Drugs
62,2,40862.62,2012-08-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,2155.0,123033.0,2.4: Beta-Adrenoceptor Blocking Drugs
63,3,38111.37,2012-09-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1982.0,113925.0,2.4: Beta-Adrenoceptor Blocking Drugs
64,4,39544.0,2012-10-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,2079.0,119570.0,2.4: Beta-Adrenoceptor Blocking Drugs
65,5,39667.4,2012-11-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,2069.0,121281.0,2.4: Beta-Adrenoceptor Blocking Drugs
66,6,38097.65,2012-12-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,2012.0,116758.0,2.4: Beta-Adrenoceptor Blocking Drugs
67,7,37117.58,2013-01-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1974.0,112723.0,2.4: Beta-Adrenoceptor Blocking Drugs
68,8,34766.7,2013-02-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1777.0,104642.0,2.4: Beta-Adrenoceptor Blocking Drugs
69,9,37034.54,2013-03-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1916.0,112249.0,2.4: Beta-Adrenoceptor Blocking Drugs
70,10,34861.38,2013-04-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1882.0,107406.0,2.4: Beta-Adrenoceptor Blocking Drugs
71,11,39294.7,2013-05-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,2033.0,118476.0,2.4: Beta-Adrenoceptor Blocking Drugs
72,12,33236.39,2013-06-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1748.0,99821.0,2.4: Beta-Adrenoceptor Blocking Drugs
73,13,38028.12,2013-07-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1963.0,115003.0,2.4: Beta-Adrenoceptor Blocking Drugs
74,14,36036.65,2013-08-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1879.0,110044.0,2.4: Beta-Adrenoceptor Blocking Drugs
75,15,33417.27,2013-09-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1719.0,101251.0,2.4: Beta-Adrenoceptor Blocking Drugs
76,16,35472.23,2013-10-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1816.0,106789.0,2.4: Beta-Adrenoceptor Blocking Drugs
77,17,33652.82,2013-11-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1734.0,103496.0,2.4: Beta-Adrenoceptor Blocking Drugs
78,18,35793.88,2013-12-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1815.0,106879.0,2.4: Beta-Adrenoceptor Blocking Drugs
79,19,34163.59,2014-01-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1779.0,104948.0,2.4: Beta-Adrenoceptor Blocking Drugs
80,20,30301.06,2014-02-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1545.0,91020.0,2.4: Beta-Adrenoceptor Blocking Drugs
81,21,31888.83,2014-03-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1677.0,97473.0,2.4: Beta-Adrenoceptor Blocking Drugs
82,22,32024.13,2014-04-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1651.0,98192.0,2.4: Beta-Adrenoceptor Blocking Drugs
83,23,32845.28,2014-05-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1683.0,98174.0,2.4: Beta-Adrenoceptor Blocking Drugs
84,24,30310.79,2014-06-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1573.0,92465.0,2.4: Beta-Adrenoceptor Blocking Drugs
85,25,33933.15,2014-07-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1741.0,103524.0,2.4: Beta-Adrenoceptor Blocking Drugs
86,26,29980.51,2014-08-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1554.0,89771.0,2.4: Beta-Adrenoceptor Blocking Drugs
87,27,31043.79,2014-09-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1597.0,92355.0,2.4: Beta-Adrenoceptor Blocking Drugs
88,28,31816.02,2014-10-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1685.0,95919.0,2.4: Beta-Adrenoceptor Blocking Drugs
89,29,28608.28,2014-11-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1542.0,87252.0,2.4: Beta-Adrenoceptor Blocking Drugs
90,30,33212.08,2014-12-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1726.0,99123.0,2.4: Beta-Adrenoceptor Blocking Drugs
91,31,30778.69,2015-01-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1586.0,92250.0,2.4: Beta-Adrenoceptor Blocking Drugs
92,32,26956.96,2015-02-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1443.0,81845.0,2.4: Beta-Adrenoceptor Blocking Drugs
93,33,29759.93,2015-03-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1594.0,89745.0,2.4: Beta-Adrenoceptor Blocking Drugs
94,34,29887.99,2015-04-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1554.0,89590.0,2.4: Beta-Adrenoceptor Blocking Drugs
95,35,28641.85,2015-05-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1512.0,85449.0,2.4: Beta-Adrenoceptor Blocking Drugs
96,36,28519.49,2015-06-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1523.0,87343.0,2.4: Beta-Adrenoceptor Blocking Drugs
97,37,30544.95,2015-07-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1616.0,90101.0,2.4: Beta-Adrenoceptor Blocking Drugs
98,38,26945.91,2015-08-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1449.0,81785.0,2.4: Beta-Adrenoceptor Blocking Drugs
99,39,29087.22,2015-09-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1512.0,86854.0,2.4: Beta-Adrenoceptor Blocking Drugs
100,40,28205.13,2015-10-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1567.0,85175.0,2.4: Beta-Adrenoceptor Blocking Drugs
101,41,27400.73,2015-11-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1462.0,83149.0,2.4: Beta-Adrenoceptor Blocking Drugs
102,42,29089.49,2015-12-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1563.0,86645.0,2.4: Beta-Adrenoceptor Blocking Drugs
103,43,26294.78,2016-01-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1391.0,78992.0,2.4: Beta-Adrenoceptor Blocking Drugs
104,44,25811.26,2016-02-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1377.0,77126.0,2.4: Beta-Adrenoceptor Blocking Drugs
105,45,25859.32,2016-03-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1397.0,78323.0,2.4: Beta-Adrenoceptor Blocking Drugs
106,46,27602.84,2016-04-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1456.0,82170.0,2.4: Beta-Adrenoceptor Blocking Drugs
107,47,25123.92,2016-05-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1336.0,75239.0,2.4: Beta-Adrenoceptor Blocking Drugs
108,48,25805.09,2016-06-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1380.0,76710.0,2.4: Beta-Adrenoceptor Blocking Drugs
109,49,25213.82,2016-07-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1346.0,76870.0,2.4: Beta-Adrenoceptor Blocking Drugs
110,50,25200.44,2016-08-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1358.0,75745.0,2.4: Beta-Adrenoceptor Blocking Drugs
111,51,25672.11,2016-09-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1346.0,76277.0,2.4: Beta-Adrenoceptor Blocking Drugs
112,52,23242.19,2016-10-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1295.0,71571.0,2.4: Beta-Adrenoceptor Blocking Drugs
113,53,24553.02,2016-11-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1324.0,74475.0,2.4: Beta-Adrenoceptor Blocking Drugs
114,54,25079.7,2016-12-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1353.0,75872.0,2.4: Beta-Adrenoceptor Blocking Drugs
115,55,23455.53306,2017-01-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1259.0,69855.0,2.4: Beta-Adrenoceptor Blocking Drugs
116,56,20676.29186,2017-02-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1125.0,64128.0,2.4: Beta-Adrenoceptor Blocking Drugs
117,57,24824.13339,2017-03-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1328.0,73836.0,2.4: Beta-Adrenoceptor Blocking Drugs
118,58,21608.43964,2017-04-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1167.0,65784.0,2.4: Beta-Adrenoceptor Blocking Drugs
119,59,23154.87213,2017-05-01,small molecule,0204000C0,Acebutolol Hydrochloride,acebutolol,1269.0,71262.0,2.4: Beta-Adrenoceptor Blocking Drugs
121,1,0.0,2012-07-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
122,2,0.0,2012-08-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
123,3,6.73,2012-09-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,1.0,1.0,11.8: Miscellaneous Ophthalmic Preparations
124,4,0.0,2012-10-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
125,5,0.0,2012-11-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
126,6,0.0,2012-12-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
127,7,0.0,2013-01-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
128,8,0.0,2013-02-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
129,9,0.0,2013-03-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
130,10,0.0,2013-04-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
131,11,0.0,2013-05-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
132,12,0.0,2013-06-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
133,13,0.0,2013-07-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
134,14,0.0,2013-08-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
135,15,0.0,2013-09-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
136,16,0.0,2013-10-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
137,17,0.0,2013-11-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
138,18,0.0,2013-12-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
139,19,0.0,2014-01-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
140,20,0.0,2014-02-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
141,21,0.0,2014-03-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
142,22,6.75,2014-04-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,1.0,1.0,11.8: Miscellaneous Ophthalmic Preparations
143,23,0.0,2014-05-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
144,24,0.0,2014-06-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
145,25,0.0,2014-07-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
146,26,0.0,2014-08-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
147,27,0.0,2014-09-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
148,28,0.0,2014-10-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
149,29,0.0,2014-11-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
150,30,0.0,2014-12-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
151,31,0.0,2015-01-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
152,32,0.0,2015-02-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
153,33,0.0,2015-03-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
154,34,0.0,2015-04-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
155,35,0.0,2015-05-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
156,36,0.0,2015-06-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
157,37,0.0,2015-07-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
158,38,0.0,2015-08-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
159,39,0.0,2015-09-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
160,40,0.0,2015-10-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
161,41,0.0,2015-11-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
162,42,0.0,2015-12-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
163,43,201.74,2016-01-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,1.0,30.0,11.8: Miscellaneous Ophthalmic Preparations
164,44,0.0,2016-02-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
165,45,0.0,2016-03-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
166,46,0.0,2016-04-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
167,47,0.0,2016-05-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
168,48,0.0,2016-06-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
169,49,0.0,2016-07-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
170,50,0.0,2016-08-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
171,51,0.0,2016-09-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
172,52,0.0,2016-10-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
173,53,0.0,2016-11-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
174,54,0.0,2016-12-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
175,55,0.0,2017-01-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
176,56,0.0,2017-02-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
177,57,6.7747,2017-03-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,1.0,1.0,11.8: Miscellaneous Ophthalmic Preparations
178,58,0.0,2017-04-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
179,59,0.0,2017-05-01,small molecule,1108020C0,Acetylcholine Chloride,acetylcholine,0.0,0.0,11.8: Miscellaneous Ophthalmic Preparations
181,1,13072.5,2012-07-01,small molecule,0212000A0,Acipimox,acipimox,335.0,27447.0,2.12: Lipid-Regulating Drugs
182,2,13967.18,2012-08-01,small molecule,0212000A0,Acipimox,acipimox,353.0,29364.0,2.12: Lipid-Regulating Drugs
183,3,12033.0,2012-09-01,small molecule,0212000A0,Acipimox,acipimox,318.0,25306.0,2.12: Lipid-Regulating Drugs
