,helm_notation,molecule_chembl_id
60,PEPTIDE1{[X1126].K.A.L.R.R.Q.E.V.D.A.L}$$$$,CHEMBL385035
61,PEPTIDE1{[X1126].[X154].A.L.R.R.Q.E.V.D.A.L}$$$$,CHEMBL413614
62,PEPTIDE1{[Cbz_A].L.R.R.Q.E.A.V.D.A.L}$$$$,CHEMBL425458
63,PEPTIDE1{D.R.V.Y.V.H.P.F}$$$$,CHEMBL216830
64,PEPTIDE1{[Sar].R.V.Y.V.H.P.[dL]}$$$$,CHEMBL430319
65,PEPTIDE1{[Sar].R.V.Y.V.H.P.[X1010]}$$$$,CHEMBL430061
66,PEPTIDE1{[Sar].R.V.Y.V.H.P.[X305]}$$$$,CHEMBL216204
67,PEPTIDE1{Y.G.G.F.L.R.R.I.R.P.K.L.K.[am]}$$$$,CHEMBL415330
68,PEPTIDE1{Y.[Aib].G.F.L.R.R.I.R.P.K.L.K.[am]}$$$$,CHEMBL404976
69,PEPTIDE1{[ac].[X127].E.[X2320].[am]}$$$$,CHEMBL273628
70,PEPTIDE1{Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$,CHEMBL217047
71,PEPTIDE1{[ac].Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$,CHEMBL216084
72,PEPTIDE1{G.I.G.K.F.L.H.S.A.K.K.F.G.K.A.F.V.G.E.I.M.N.S}$$$$,CHEMBL414933
73,PEPTIDE1{[ac].K.K.Y.I.K.V.F.V.F.K.[am]}$$$$,CHEMBL216243
74,PEPTIDE1{K.K.Y.I.K.V.F.V.F.K.[am]}$$$$,CHEMBL273655
75,PEPTIDE1{K.Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$,CHEMBL436867
76,PEPTIDE1{K.K.Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$,CHEMBL217796
77,PEPTIDE1{F.Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$,CHEMBL267789
78,PEPTIDE1{Y.A.G.[X56]}$$$$,CHEMBL13695
79,PEPTIDE1{[X870].A.G.[dF].[dL]}$$$$,CHEMBL13665
80,PEPTIDE1{Y.A.G.[Cha].L}$$$$,CHEMBL13767
81,PEPTIDE1{Y.A.G}$$$$,CHEMBL274367
82,PEPTIDE1{Y.A.[X803]}$$$$,CHEMBL13834
83,PEPTIDE1{Y.A.G.[X56].[dL]}$$$$,CHEMBL14570
84,PEPTIDE1{A.R.V.[X172].I.H.[dP].F}$$$$,CHEMBL218513
85,PEPTIDE1{[Sar].R.V.[dF].I.H.[dP].F}$$$$,CHEMBL425794
86,PEPTIDE1{[Sar].R.V.[dY].I.H.[dP].F}$$$$,CHEMBL384867
87,PEPTIDE1{D.R.V.[X172].I.H.[dP].F}$$$$,CHEMBL415338
88,PEPTIDE1{Y.M.G.F.P.[am]}$$$$,CHEMBL13894
89,PEPTIDE1{Y.A.G.[meF].[X157]}$$$$,CHEMBL274204
90,PEPTIDE1{Y.G.G.F.M}$$$$,CHEMBL13786
91,PEPTIDE1{Y.G.G.F.M.T}$$$$,CHEMBL14204
92,PEPTIDE1{Y.S.G.F.L.T}$$$$,CHEMBL14230
93,PEPTIDE1{Y.A.G.F.L}$$$$,CHEMBL266834
94,PEPTIDE1{Y.A.G.F.M.T}$$$$,CHEMBL14036
95,PEPTIDE1{[ac].Y.G.G.Q.[am]}$$$$,CHEMBL276662
96,PEPTIDE1{[ac].Q.Q.F.[Sar].[am]}$$$$,CHEMBL14313
97,PEPTIDE1{[ac].D.Q.L.F.[am]}$$$$,CHEMBL14132
98,PEPTIDE1{[ac].K.[Sar].Y.[meD].[am]}$$$$,CHEMBL14263
99,PEPTIDE1{[ac].G.[meF].K.D.[am]}$$$$,CHEMBL417440
100,PEPTIDE1{[ac].K.[meF].G.[meL].[am]}$$$$,CHEMBL14529
101,PEPTIDE1{[ac].F.Q.K.[meL].[am]}$$$$,CHEMBL275244
102,PEPTIDE1{[ac].S.[meF].G.G.[am]}$$$$,CHEMBL14382
103,PEPTIDE1{[ac].V.[meY].L.Q.[am]}$$$$,CHEMBL14147
104,"PEPTIDE1{[am]}|PEPTIDE2{[ac].V.[meE].[meS].[meF].[am]}$PEPTIDE2,PEPTIDE1,3:R3-1:R1$$$",CHEMBL273431
105,PEPTIDE1{[ac].G.[meD].F.[meK].[am]}$$$$,CHEMBL14150
106,PEPTIDE1{[ac].G.[Sar].L.F.[am]}$$$$,CHEMBL416346
107,PEPTIDE1{[ac].F.P.F.Y.[am]}$$$$,CHEMBL275208
108,PEPTIDE1{[ac].F.L.V.[meL].[am]}$$$$,CHEMBL14301
109,"PEPTIDE1{[am]}|PEPTIDE2{[ac].F.[meE].Q.[meS].[am]}$PEPTIDE2,PEPTIDE1,3:R3-1:R1$$$",CHEMBL275065
110,PEPTIDE1{[ac].G.L.D.[meF].[am]}$$$$,CHEMBL274040
111,PEPTIDE1{[ac].G.S.Y.[meV].[am]}$$$$,CHEMBL275201
112,PEPTIDE1{[ac].L.V.Y.G.[am]}$$$$,CHEMBL14825
113,PEPTIDE1{G.G.G.G.G}$$$$,CHEMBL14390
114,"PEPTIDE1{Y.[dD].G.[dF]}|PEPTIDE2{L.K.R.I.R.[dP].[dK].[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,4:R2-1:R1$$$",CHEMBL415339
115,"PEPTIDE1{Y.D.G.[dF]}|PEPTIDE2{L.K.R.I.R.[dP].[dK].[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,4:R2-1:R1$$$",CHEMBL413011
116,"PEPTIDE1{Y.G.[dD]}|PEPTIDE2{[dF].L.[dR].[dK].I.R.[dP].[dK].[am]}$PEPTIDE2,PEPTIDE1,4:R3-3:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$",CHEMBL386170
117,"PEPTIDE1{[dY].G.G.[dF].[dK].[dR].R}|PEPTIDE2{[dI].[dD].P.[dK].[am]}$PEPTIDE2,PEPTIDE1,2:R3-5:R3|PEPTIDE1,PEPTIDE2,7:R2-1:R1$$$",CHEMBL412600
118,"PEPTIDE1{Y.G.D}|PEPTIDE2{[dF].L.[dR].[dK].I.R.[dP].[dK].[am]}$PEPTIDE2,PEPTIDE1,4:R3-3:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$",CHEMBL216182
119,PEPTIDE1{Y.G.G.F.K.R.R.I.D.[dP].[dK].[am]}$$$$,CHEMBL384485
120,PEPTIDE1{Y.G.[dD].F.L.R.K.I.R.[dP].[dK].[am]}$$$$,CHEMBL277132
121,PEPTIDE1{Y.G.D.F.L.R.K.I.R.[dP].[dK].[am]}$$$$,CHEMBL387437
122,PEPTIDE1{Y.G.G.F.K.R.R.I.[dD].[dP].[dK].[am]}$$$$,CHEMBL412580
123,PEPTIDE1{Y.D.G.F.L.K.R.I.R.[dP].[dK].[am]}$$$$,CHEMBL217049
124,PEPTIDE1{Y.[dD].G.F.L.K.R.I.R.[dP].[dK].[am]}$$$$,CHEMBL264733
125,"PEPTIDE1{[dY].G.G.[dF].[dK].[dR].R}|PEPTIDE2{[dI].D.P.[dK].[am]}$PEPTIDE2,PEPTIDE1,2:R3-5:R3|PEPTIDE1,PEPTIDE2,7:R2-1:R1$$$",CHEMBL387083
126,"PEPTIDE1{[dP].G}|PEPTIDE2{Y.[dOrn].[1-Nal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$",CHEMBL278891
127,"PEPTIDE1{[dP].G}|PEPTIDE2{Y.[Orn].[Nal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$",CHEMBL275670
128,"PEPTIDE1{[dP].G}|PEPTIDE2{Y.K.[Nal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$",CHEMBL274012
129,"PEPTIDE1{P.G}|PEPTIDE2{Y.[dDab].[dNal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$",CHEMBL278889
130,"PEPTIDE1{[dP].G}|PEPTIDE2{Y.[Orn].F}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$",CHEMBL15100
131,"PEPTIDE1{[dP].G}|PEPTIDE2{Y.[dOrn].W}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$",CHEMBL14887
132,"PEPTIDE1{[dP]}|PEPTIDE2{Y.[Orn].[Nal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-1:R2$$$",CHEMBL280264
133,PEPTIDE1{[X85].G.G.F.L}$$$$,CHEMBL15033
134,PEPTIDE1{[X1354].G.G.F.L}$$$$,CHEMBL14974
135,PEPTIDE1{[X1449].G.G.F.L}$$$$,CHEMBL269347
136,PEPTIDE1{[X212].G.G.F.L}$$$$,CHEMBL15032
137,PEPTIDE1{[X260].G.G.F.L}$$$$,CHEMBL15031
138,PEPTIDE1{[X959].G.G.F.L}$$$$,CHEMBL276099
139,PEPTIDE1{[X1569].G.G.F.L}$$$$,CHEMBL15249
140,PEPTIDE1{[dY].G.G.[dF].[dL]}$$$$,CHEMBL15595
141,PEPTIDE1{Y.G.F.L}$$$$,CHEMBL15695
142,PEPTIDE1{Y.G.G.F.L.R.R.[lalloI]}$$$$,CHEMBL268984
143,PEPTIDE1{[dF].G.G.F.L}$$$$,CHEMBL15261
144,PEPTIDE1{L.I.Y.R.L.R.Y.[am]}$$$$,CHEMBL406383
145,PEPTIDE1{Y.P.S.K.P.D.N.P.G.E.D.A.P.A.E.D.L.A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$,CHEMBL267633
146,PEPTIDE1{I.Y.R.L.R.Y.[am]}$$$$,CHEMBL275220
147,PEPTIDE1{Q.M.E.A.E}$$$$,CHEMBL15603
148,PEPTIDE1{T.R.Q.R.Y.[am]}$$$$,CHEMBL277607
149,PEPTIDE1{E.E.I.V.[dP].N}$$$$,CHEMBL16438
150,PEPTIDE1{[ac].E.D.A.P.A.E.D.L.A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$,CHEMBL411780
151,PEPTIDE1{A.[X395].S.E.I.Q.L.M.H.N.L.G.K.H.L.N.S.M.E.R.V.E.W.L.R.K.K.L.Q.D.V.H.N.F.V.A.[am]}$$$$,CHEMBL414103
152,PEPTIDE1{[meA].V.S.E.I.Q.L.M.H.N.L.G.K.H.L.N.S.M.E.R.V.E.W.L.R.K.K.L.Q.D.V.H.N.F.V.A.[am]}$$$$,CHEMBL440239
153,PEPTIDE1{N.L.I.Y.R.L.R.Y.[am]}$$$$,CHEMBL428097
154,PEPTIDE1{Y.P.S.K.P.D.N.P.G.E.D.A.P.A.E.D.L.A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.Y.R.L.R.Y.[am]}$$$$,CHEMBL439534
155,PEPTIDE1{Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$,CHEMBL385245
156,PEPTIDE1{R.H.Y.I.N.L.I.Y.R.L.R.Y.[am]}$$$$,CHEMBL383861
157,PEPTIDE1{H.Y.I.N.L.I.Y.R.L.R.Y.[am]}$$$$,CHEMBL274850
158,PEPTIDE1{A.[meV].S.E.I.Q.L.M.H.N.L.G.K.H.L.N.S.M.E.R.V.E.W.L.R.K.K.L.Q.D.V.H.N.F.V.A.[am]}$$$$,CHEMBL414363
159,PEPTIDE1{[meA].[meV].S.E.I.Q.L.M.H.N.L.G.K.H.L.N.S.M.E.R.V.E.W.L.R.K.K.L.Q.D.V.H.N.F.V.A.[am]}$$$$,CHEMBL412178
160,PEPTIDE1{Y.I.N.L.L.Y.R.P.R.Y.[am]}$$$$,CHEMBL269544
161,PEPTIDE1{I.N.P.I.Y.R.L.R.Y.[am]}$$$$,CHEMBL386823
162,PEPTIDE1{Y.I.N.P.I.Y.R.L.R.Y.[am]}$$$$,CHEMBL385246
163,PEPTIDE1{Y.I.N.L.I.Y.R.L.R.Y.[am]}$$$$,CHEMBL269515
164,PEPTIDE1{I.N.L.I.Y.R.L.R.Y.[am]}$$$$,CHEMBL409457
165,PEPTIDE1{Y.I.N.L.L.Y.R.Q.R.Y.[am]}$$$$,CHEMBL439356
166,PEPTIDE1{Y.I.N.L.I.T.R.L.Y.[am]}$$$$,CHEMBL406275
167,PEPTIDE1{R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$,CHEMBL386822
168,"PEPTIDE1{[dC].[dS].N.[dL].S.[dalloT].[dC].V.L.S.A.Y.W.R.N.L.N.N.F.H.R.F.S.G.M.G.F.G.[dP].Q.T.P}$PEPTIDE1,PEPTIDE1,7:R3-1:R3$$$",CHEMBL409696
169,PEPTIDE1{C.C.R.Q.K.T.C.S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL265747
170,PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A}$$$$,CHEMBL267350
171,PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R.L.[meL].Q.A.S.G.N.H.A.A.G.I}$$$$,CHEMBL438032
172,PEPTIDE1{G.L.G.A.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL437920
173,PEPTIDE1{G.L.Q.A.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL411589
174,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.A.P.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL204810
175,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.P.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL438276
176,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.P.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL379910
177,PEPTIDE1{[Glp].P.L.P.[X2239].L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL276022
178,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.A}$$$$,CHEMBL263625
179,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.A.M}$$$$,CHEMBL412247
180,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.A.T.M}$$$$,CHEMBL410690
181,PEPTIDE1{[X2566].L.P.D.C.C.R.Q.K.T.C.S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL441942
182,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.A.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL411048
183,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.A.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL411914
184,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.P.T.M}$$$$,CHEMBL439525
185,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.P.L.T.M}$$$$,CHEMBL437906
186,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.P.I.L.T.M}$$$$,CHEMBL409745
187,PEPTIDE1{G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL430345
188,PEPTIDE1{A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL384047
189,PEPTIDE1{L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL439167
190,PEPTIDE1{R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL408086
191,PEPTIDE1{F.M.R.F.[am]}$$$$,CHEMBL262202
192,"PEPTIDE1{P.L.P.D.C.C.R.Q.K.T.C.S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$PEPTIDE1,PEPTIDE1,11:R3-5:R3|PEPTIDE1,PEPTIDE1,13:R3-6:R3$$$",CHEMBL440826
193,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.A.H.A.A.G.I.L.T.M}$$$$,CHEMBL440806
194,PEPTIDE1{G.P.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL382561
195,PEPTIDE1{P.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL425940
196,PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R.L.[meL].Q.A.S.G.N.H.A.A.G.I.L.T}$$$$,CHEMBL439311
197,PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R.L.[meL].Q.A.S.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL410918
198,PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R.L.[meL].Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL411815
199,PEPTIDE1{G.A.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL411361
200,PEPTIDE1{A.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL429374
201,PEPTIDE1{S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL214619
202,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.N.S.G.A.H.A.A.G.I.L.T.M}$$$$,CHEMBL408467
203,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.N.A.G.A.H.A.A.G.I.L.T.M}$$$$,CHEMBL428126
204,PEPTIDE1{[Glp].P.L.P.[X2722].L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL411934
205,PEPTIDE1{P.L.P.D.C.C.R.Q.K.T.C.S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL409269
206,PEPTIDE1{L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL384249
207,PEPTIDE1{G.L.Q.G.R.L.Q.R.R.A.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL269724
208,PEPTIDE1{G.L.Q.G.R.L.Q.R.R.A.A.A.S.G.N.H.L.A.G.I.L.T.M}$$$$,CHEMBL415650
209,PEPTIDE1{G.L.Q.G.R.A.Q.R.R.A.A.A.S.G.N.H.L.A.G.I.L.T.M}$$$$,CHEMBL409322
210,PEPTIDE1{G.L.Q.G.R.P.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL437533
211,PEPTIDE1{G.L.Q.G.R.L.P.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL409644
212,PEPTIDE1{G.L.Q.P.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL441585
213,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.P.A.A.G.I.L.T.M}$$$$,CHEMBL439110
214,PEPTIDE1{S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL406777
215,PEPTIDE1{T.C.S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL268347
216,PEPTIDE1{H.A.A.G.I.L.T.L}$$$$,CHEMBL429205
217,PEPTIDE1{[ac].G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL428821
218,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.P}$$$$,CHEMBL217721
219,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.P.M}$$$$,CHEMBL265993
220,PEPTIDE1{R.Q.K.T.C.S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$,CHEMBL413009
221,PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R}$$$$,CHEMBL412250
222,PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R.L.L.Q}$$$$,CHEMBL409188
223,PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H}$$$$,CHEMBL430144
224,PEPTIDE1{N.H.A.A.G.I.L.T.L}$$$$,CHEMBL280472
225,PEPTIDE1{C.S.C.S.S.L.M.D.K.E.C.V.Y.F.C.H.L.D.[lalloI].[dV].W}$$$$,CHEMBL411360
226,PEPTIDE1{C.S.C.S.S.L.M.D.K.E.C.V.Y.F.C.H.L.D.[lalloI].A.W}$$$$,CHEMBL438213
227,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.P.H.A.A.G.I.L.T.M}$$$$,CHEMBL428626
228,PEPTIDE1{R.P.G.P.P.G.L.Q.G.R.L.Q.R.L.L.Q.A.N.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL438779
229,"PEPTIDE1{S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}|PEPTIDE2{S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$PEPTIDE2,PEPTIDE1,2:R3-2:R3$$$",CHEMBL429376
230,PEPTIDE1{R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL429242
